Song,Artist,Popularity,BPM,Time,Dance,Energy,Acoustic,Happy,Live,Loud (Db),Camelot,Artist_Clean,Song_Clean,Genre Tags,lyrics,time_seconds,time_bucket
Venus,Bananarama,71,126,03:49,72,96,9,91,20,-5,11B,Bananarama,Venus,"80s, pop, dance, female vocalists, Disco","Goddess on the mountaintop
Burning like a silver flame
The summit of beauty and love
And Venus was her name

She's got it
Yeah, baby, she's got it
I'm your Venus, I'm your fire
At your desire
Well, I'm your Venus, I'm your fire
At your desire

Her weapons were her crystal eyes
Making every man mad
Black as the dark night, she was
Got what no one else had
Wow!

She's got it
Yeah, baby, she's got it
I'm your Venus, I'm your fire
At your desire
Well, I'm your Venus, I'm your fire
At your desire

(Venus)

She's got it
Yeah, baby, she's got it
I'm your Venus, I'm your fire
At your desire
Well, I'm your Venus, I'm your fire
At your desire

Goddess on the mountaintop
Burning like a silver flame
The summit of beauty and love
And Venus was her name
Wow!

She's got it
Yeah, baby, she's got it
I'm your Venus, I'm your fire
At your desire
Well, I'm your Venus, I'm your fire
At your desire

(Venus was her name)

Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it",229,220
Mary's Prayer,Danny Wilson,59,135,03:54,68,57,24,66,10,-13,8B,Danny Wilson,Mary's Prayer,"80s, pop, Scottish, 1987, smooth","Everything is wonderful
Being here is heavenly
Every single day, she says
Everything is free
I used to be so careless
As if I couldn't care less
Did I have to make mistakes
When I was Mary's prayer?
Suddenly, the heavens roared
Suddenly, the rain came down
Suddenly was washed away
The Mary that I knew
So when you find somebody who keep
Think of me and celebrate
I made such a big mistake
When I was Mary's prayer
So if I say save me, save me
Be the light in my eyes
And if I say ten Hail Marys
Leave a light on in Heaven for me
Blessed is the one who shares
Your power and your beauty, Mary
Blessed is the millionaire
Who shares your wedding day

So when you find somebody who keep
Think of me and celebrate
I made such a big mistake
When I was Mary's prayer
So if I say save me, save me
Be the light in my eyes
And if I say ten Hail Marys
Leave a light on in Heaven
Save me, save me
Be the light in my eyes
And if I say ten Hail Marys
Leave a light on in Heaven for me
If you want the fruit to fall
You have to give the tree a shake
But if you shake the tree too hard
The bough is gonna break
And if I can't reach the top of the tree
Oh, Mary, you can pull me up there
What I wouldn't give to be
When I was Mary's prayer
So if I say save me, save me
Be the light in my eyes
And if I say ten Hail Marys
Leave a light on in Heaven

Save me, save me
Be the light in my eyes
And if I say ten Hail Marys
Leave a light on in Heaven
Save me, save me
Be the light in my eyes
What I wouldn't give to be
When I was Mary's prayer
What I wouldn't give to be
When I was Mary's prayer
Save me (What I wouldn't give to be)
When I was Mary's prayer",234,230
Relax,Frankie Goes To Hollywood,74,115,03:56,68,69,33,69,0,-13,10A,Frankie Goes To Hollywood,Relax,"80s, pop, new wave, dance, british","Mine
Give it to you one time, now
Well
Whoa
Well, now

Relax, don't do it
When you want to go to it
Relax, don't do it
When you want to come
Relax, don't do it
When you want to suck it, chew it
Relax, don't do it

When you want to come
When you want to come

Relax, don't do it
When you want to go to it
Relax, don't do it
When you want to come
Relax, don't do it
When you want to suck it, chew it
Relax, don't do it

When you want to come
Come on
Ohh

But shoot it in the right direction
Make makin' it your intention (Ooh yeah, ooh yeah)
Live those dreams
Scheme those schemes
Got to hit me (Hit me), hit me (Hit me)
Hit me with those laser beams
Ow, ow, ow
Laser beam me
One, two

Relax, don't do it
Relax
When you want to come
Come, uhh, woo

Ow, ow, ow, ow, ow, ow, ow, ow
I'm coming
I'm coming, yeah

Relax, don't do it (Ow, once you're inside of me)
When you want to go to it
Relax, don't do it
When you want to come (Hey)
Relax, don't do it
When you want to suck it, chew it (Wo-ho)
Relax, don't do it, no

When you want to come
When you want to come
When you want to come
Come, huh

Ow, ow, ow, ow, woo
Ow, ow, ow, yeah
The scene of love, feel it

Relax, don't do it
When you want to go to it
Relax, don't do it (Ow, ow, yeah)
Relax, don't do it (Hiya, hiya)
When you want to go to it
Relax, don't do it

Now's the time, it's party time (Hey)
Come",236,230
Wanna Be Startin' Somethin',Michael Jackson,67,122,06:03,84,87,3,91,0,-8,11B,Michael Jackson,Wanna Be Startin' Somethin',"pop, 80s, michael jackson, dance, funk","I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

I took my baby to the doctor with a fever
But nothin' he found
By the time this hit the street
They said she had a breakdown
Someone's always tryin'
To start my baby cryin'
Talkin', squealin', lyin'
Sayin' you just want to be startin' somethin'

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

You love to pretend that you're good
When you're always up to no good
You really can't make him hate her
So your tongue became a razor
Someone's always tryin'
To keep my baby cryin'
Treacherous, cunnin', declinin'
You got my baby cryin' (Hee)

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
You're a vegetable (You're a vegetable)
You're a vegetable (You're a vegetable)
Still, they hate you (Still, they hate you)
You're a vegetable (You're a vegetable)
You're just a buffet (You're just a buffet) (You're a vegetable)
You're a vegetable (You're a vegetable)
They eat off of you (They eat off of you) (You're a vegetable)
You're a vegetable, aaow!

Billie Jean is always talkin' when nobody else is talkin'
Tellin' lies and rubbin' shoulders
So they called her mouth a motor
Someone's always tryin'
To start my baby cryin'
Talkin', squealin', spyin'
Sayin' you just want to be startin' somethin'

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
You're a vegetable (You're a vegetable)
You're a vegetable (You're a vegetable)
Still, they hate you (Still, they hate you)
You're a vegetable (You're a vegetable)
You're just a buffet (You're just a buffet) (You're a vegetable)
You're a vegetable (You're a vegetable)
They eat off of you (They eat off of you) (You're a vegetable)
You're a vegetable, ow!

Ow!
Yee-haw! (Ooh!)

If you can't feed your baby (Yeah, yeah)
Then don't have a baby (Yeah, yeah)
And don't think maybe (Yeah, yeah)
If you can't feed your baby (Yeah, yeah)
You'll be always tryin'
To stop that child from cryin'
Hustlin', stealin', lyin'
Now, baby's slowly dyin'

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

Lift your head up high and scream out to the world
""I know I am someone,"" and let the truth unfurl (Hee-ha)
No one can hurt you now because you know what's true
Yes, I believe in me, so you believe in you

Help me sing it
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee, hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it, babe)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Yeah, sing it to the world)
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it out loud)
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it)
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it to the world)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee, hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it, babe)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Yeah)
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it to the world)
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it out loud)
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo, hoo)
Mama-say, mama-sa, ma-ma-ko-ssa",363,360
New Sensation,INXS,70,115,03:40,68,95,1,93,0,-5,11B,INXS,New Sensation,"80s, rock, pop, INXS, new wave","This was one of the greatest hits from INXS and 80s music in general.
The very uplifting instrumental features a signature Kirk Pengilly sax solo and a unique guitar riff.
Live, baby, live
Now that the day is over
I got a new sensation
In perfect moments
That's impossible to refuse

Sleep, baby, sleep
Now that the night is over
And the sun comes
Like a god into our room
All perfect light and promises
Got a hold on you
A new sensation, a new sensation
Right now, it's gonna take you over
A new sensation, a new sensation

Dream, baby, dream
Of all that's come and going
And you will find out in the end
There really is
There really is no difference

Hah…
Cry, baby, cry
When you got to get it out
I'll be your shoulder
You can tell me all
Don't keep it in ya
Well, that's the reason why I'm here
Hey, hey
Are you ready for (A new sensation, a new sensation)
Right now?
Gonna take you over (A new sensation, a new sensation)
Trumpet!
(New sensation, new sensation)
(A new sensation)


Hate, baby, hate
When there's nothing left for you
You're only human, what can you do?
It'll soon be over
Don't let your pain take over you

Love, baby, love
It's written all over your face
There's nothing better we could do
Than live forever
Well, that's all we've got to do
Hey now, I'm gonna take you over (A new sensation, new sensation)
Right now
Got a hold on you
A new sensation, new sensation
A new sensation, a new sensation
A new sensation",220,220
You Keep Me Hangin On,Kim Wilde,67,123,04:15,69,68,8,71,10,-12,6A,Kim Wilde,You Keep Me Hangin On,"80s, pop, Hi-NRG, rock, british","This is Wilde’s cover of the 1966 Supremes song “You Keep Me Hanging On”.
Both Wilde and the Supremes took the song to the number one spot on the Billboard Hot 100 chart.
Keep me hangin' on
Set me free, why don't you, babe?
Get out my life, why don't you, babe?
'Cause you don't really love me
You just keep me hangin' on

Set me free, why don't you, babe?
Get out my life, why don't you, babe? (Ooh-woo, ooh)
'Cause you don't really need me
But you keep me hangin' on

Why do you keep on coming around
Playing with my heart?
Why don't you get out of my life
And let me make a brand new start?
Let me get over you
The way you've gotten over me, yeah

Set me free, why don't you, babe?
Get out my life, why don't you, babe? (Ooh-woo, ooh)
'Cause you don't really love me
You just keep me hangin' on
Now you don't really need me
You just keep me, hangin' on

You say although we broke up
You still just wanna be friends
But how can we still be friends
When seeing you only breaks my heart again?
(And there ain't nothing I can do about it)

Whoa-whoa-whoa
Whoa-whoa-whoa-whoa
Whoa-whoa-whoa-whoa
Whoa-whoa-whoa
Yeah, yeah

Get out, get out of my life
And let me sleep at night
'Cause you don't really love me
You just keep me (Hangin' on), hangin' on

You say you still care for me
But your heart and soul needs to be free
And now that you've got your freedom
You wanna still hold on to me
You don't want me for yourself
So let me find somebody else

Set me free, why don't you, babe?
Get out my life, why don't you, babe? (Ooh-woo, ooh)
'Cause you don't really love me
You just keep me hangin' on

Why don't you be a man about it
And set me free? (Ooh-woo, ooh)
Now you don't care a thing about me
You're just using me, hey, abusing me

Get out, get out of my life
And let me sleep at night (Ooh-woo, ooh)
'Cause you don't really love me
You just keep me, hangin' on (Ooh-woo, ooh)",255,250
I Don't Want A Lover,Texas,0,120,05:00,76,47,20,43,10,-13,9B,Texas,I Don't Want A Lover,"pop, rock, female vocalists, 90s, texas","I don't want a lover
I just need a friend
I don't want a lover
I just need a friend
You can't just leave me
To face life on my own
I know you don't love me no more
I knew this day it would come
Even when it cuts so deep
It's true I still want you
But the harder I try
The more I seem to lose
I don't want a lover
I just need a friend
I've had time to recover
Now that I know it wasn't love
It's always a different story
When it's me who's in the wrong
But you can't have it all
Cause I'm the one who's strong
I've already been burnt before
Once but never again
I know the time will come
That's when you'll need me then

I don't want a lover
I just need a friend
I've had time to recover
Now that I know it wasn't love
I don't want a lover
I just need a prayer
I know you never cared
Now that I know it wasn't love
You don't even care
About what I'm saying
You don't even think
What you're doing
All you see is what you want it to be
But in there there's just no room for me
I don't want a lover
I just need a friend
I've had time to recover
Now that I know it wasn't love
You don't even care
About what I'm saying
You don't even think
What you're doing
All you see is what you want it to be
There's just no room in there for me

I don't want a lover
I just need a friend
I've had time to recover
Now that I know it wasn't love
I don't want a lover
I just need a prayer
I know you never cared
Now that I know it wasn't love",300,300
Need You Tonight,INXS,75,109,03:01,80,63,4,79,0,-7,3A,INXS,Need You Tonight,"80s, rock, pop, INXS, new wave","Come over here

All you got is this moment
Twenty-first century's yesterday
You can care all you want
Everybody does, yeah, that's okay

So slide over here and give me a moment
Your moves are so raw, I've got to let you know
I've got to let you know
You're one of my kind
Ow
I need you tonight
'Cause I'm not sleepin'
There's something about you, girl
That makes me sweat

How do you feel? I'm lonely
What do you think? Can't think at all
What'cha gonna do? Gonna live my life

So slide over here and give me a moment
Your moves are so raw, I've got to let you know
I've got to let you know
You're one of my kind
Oh
I need you tonight
'Cause I'm not sleepin', mm
There's something about you, girl
That makes me sweat

So how do you feel? I'm lonely
What do you think? Can't think at all
What'cha gonna do? Gonna live my life
How do you feel? I'm lonely
What do you think? Can't think at all
What'cha gonna do? Gonna live my life

So slide over here and give me a moment
Your moves are so raw, I've got to let you know
I've got to let you know
So slide over here and give me a moment
I've got to let you know, I've got to let you know
You're one of my kind",181,180
Pour Some Sugar On Me,Def Leppard,69,85,04:27,27,95,0,57,20,-5,12A,Def Leppard,Pour Some Sugar On Me,"80s, rock, hard rock, classic rock, Def Leppard","Step inside
Walk this way
You and me babe
Hey hey!

Love is like a bomb, baby, c'mon get it on
Livin' like a lover with a radar phone
Lookin' like a tramp, like a video vamp
Demolition woman, can I be your man?
Razzle 'n' a dazzle 'n' a flash a little light
Television lover, baby, go all night
Sometime, anytime, sugar me sweet
Little miss innocent sugar me, yeah

So c'mon, take a bottle, shake it up
Break the bubble, break it up

Pour some sugar on me
Ooh, in the name of love
Pour some sugar on me
C'mon, fire me up
Pour your sugar on me
I can't get enough

I'm hot, sticky sweet
From my head to my feet, yeah

Listen! red light, yellow light, green-a-light go!
Crazy little woman in a one man show
Mirror queen, mannequine, rhythm of love
Sweet dream, saccharine, loosen up
Lucid love
You gotta squeeze a little, squeeze a little
Tease a little more
Easy operator come a knockin' on my door
Sometime, anytime, sugar me sweet
Little miss innocent sugar me, yeah, yeah
Give a little more

Take a bottle, shake it up
Break the bubble, break it up

Pour some sugar on me
Ooh, in the name of love
Pour some sugar on me
C'mon, fire me up
Pour your sugar on me
I can't get enough

I'm hot, sticky sweet
From my head to my feet, yeah

You got the peaches, I got the cream
Sweet to taste, saccharine
Cause I'm hot, hot, so hot, sticky sweet
From my head, my head, to my feet
Do you take sugar? one lump or two?

Take a bottle (take a bottle), shake it up (shake it up)
Break the bubble (break it up), break it up

Pour some sugar on me
Ooh, in the name of love
Pour some sugar on me
C'mon fire me up
Pour your sugar on me
Oh, I can't get enough

Pour some sugar on me
Oh, in the name of love
Pour some sugar on me
Get it, come get it
Pour your sugar on me
Pour some sugar on me
Yeah! Sugar me!",267,260
Caribbean Queen (No More Love On the Run),Billy Ocean,76,114,04:04,79,65,17,95,0,-8,7B,Billy Ocean,Caribbean Queen (No More Love On the Run),"80s, pop, dance, soul, rnb","She's simply awesome
Ooh

She dashed by me in painted on jeans
And all heads turned 'cause she was the dream
In the blink of an eye I knew her number and her name, yeah
She said I was the tiger she wanted to tame

Caribbean Queen
Now we're sharing the same dream
And our hearts they beat as one
No more love on the run

I lose my cool when she steps in the room
And I get so excited just from her perfume
Electric eyes that you can't ignore
And passion burns you like never before

I was in search of a good time
Just running my game
Love was the furthest
Furthest from my mind

Caribbean Queen (can't give her up)
Now we're sharing the same dream (don't wanna stop)
And our hearts they beat as one
No more love on the run
I love ya, I need ya

Caribbean Queen (can't give her up)
Now we're sharing the same dream (don't wanna stop)
And our hearts they beat as one
No more love on the run


Caribbean Queen
Now we're sharing the same dream
And our hearts they beat as one
No more love on the run

Caribbean Queen
Now we're sharing the same dream
And our hearts they beat as one
No more love on the run

She is the queen
My Caribbean Queen
I said she dashed by me in painted jeans...",244,240
Wouldn't It Be Good,Nik Kershaw,69,97,04:37,66,71,17,75,0,-9,7A,Nik Kershaw,Wouldn't It Be Good,"80s, pop, new wave, synthpop, nik kershaw","I got it bad
You don't know how bad I got it
You got it easy
You don't know when you've got it good
It's getting harder
Just keeping life and soul together
I'm sick of fighting
Even though I know I should
The cold is biting
Through each and every nerve and fiber
My broken spirit
Is frozen to the core
I don't want to be here no more

Wouldn't it be good to be in your shoes
Even if it was for just one day?
Wouldn't it be good if we could wish ourselves away?
Wouldn't it be good to be on your side?
The grass is always greener over there
Wouldn't it be good if we could live without a care?

You must be joking
You don't know a thing about it
You've got no problem
I'd stay right there if I were you
I got it harder
You couldn't dream how hard I got it
Stay out of my shoes
If you know what's good for you
The heat is stifling
Burning me up from the inside
The sweat is coming
Through each and every pore
I don't want to be here no more
I don't want to be here no more
I don't want to be here no more


Wouldn't it be good to be in your shoes
Even if it was for just one day?
Wouldn't it be good if we could wish ourselves away? Ooh
Wouldn't it be good to be on your side?
The grass is always greener over there
Wouldn't it be good if we could live without a care?

I got it bad
You don't know how bad I got it
You got it easy
You don't know when you've got it good
It's getting harder
Just keeping life and soul together
I'm sick of fighting
Even though I know I should
I don't want to be here no more
I don't want to be here no more",277,270
Lay All Your Love On Me,ABBA,0,134,04:34,68,71,10,76,40,-8,7A,ABBA,Lay All Your Love On Me,"pop, Disco, abba, 70s, swedish","I wasn't jealous before we met
Now every woman I see is a potential threat
And I'm possessive, it isn't nice
You've heard me saying that smoking was my only vice

But now it isn't true
Now everything is new
And all I've learned has overturned
I beg of you

Don't go wasting your emotion
Lay all your love on me

It was like shooting a sitting duck
A little small talk, a smile, and baby, I was stuck
I still don't know what you've done with me
A grown-up woman should never fall so easily

I feel a kind of fear
When I don't have you near
Unsatisfied, I skip my pride
I beg you, dear

Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me

I've had a few little love affairs
They didn't last very long and they've been pretty scarce
I used to think that was sensible
It makes the truth even more incomprehensible

'Cause everything is new
And everything is you
And all I've learned has overturned
What can I do?

Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
Don't go wasting your emotion
Lay all your love on me",274,270
Nothing's Gonna Stop Us Now,Starship,4,96,04:30,64,80,3,53,0,-5,2B,Starship,Nothing's Gonna Stop Us Now,"80s, pop, classic rock, rock, starship","Lookin' in your eyes, I see a paradise
This world that I found is too good to be true
Standin' here beside you, want so much to give you
This love in my heart that I'm feelin' for you

Let 'em say we're crazy, I don't care 'bout that
Put your hand in my hand, baby, don't ever look back
Let the world around us just fall apart
Baby, we can make it if we're heart to heart

And we can build this dream together
Standing strong forever
Nothing's gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothing's gonna stop us
Nothing's gonna stop us now (Oh, whoa)

I'm so glad I found you, I'm not gonna lose you
Whatever it takes, I will stay here with you
Take it to the good times, see it through the bad times
Whatever it takes is what I'm gonna do

Let 'em say we're crazy
What do they know?
Put your arms around me
Baby, don't ever let go
Let the world around us just fall apart
Baby, we can make it if we're heart to heart

And we can build this dream together
Standing strong forever
Nothing's gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothing's gonna stop us
Nothing's gonna stop us

Ooh, all that I need is you
All that I ever need
And all that I want to do
Is hold you forever, forever and ever Hey!

And we can build this dream together
Standing strong forever
Nothing's gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothing's gonna stop us
Nothing's gonna stop us now, whoa-oh-oh-oh, oh

And we can build this dream together
Standing strong forever
Nothing's gonna stop us now
(Nothing's gonna stop us now)
If this world runs out of lovers
We'll still have each other
Nothing's gonna stop us
(Oh, no)

And we can build this dream together (Hey baby)
Standing strong forever (I know)
Nothing's gonna stop us now (Hey baby, nothing's gonna stop us)
If this world runs out of lovers (Hey baby, ooh, hoo!)
We'll still have each other (Nothing's gonna)
Nothing's gonna stop us (Hey baby, nothing's gonna stop us now, yeah)
And we can build this dream together
Standing strong forever
Nothing's gonna stop us now
If this world runs out of lovers...",270,270
We Didn't Start the Fire,Billy Joel,81,145,04:47,71,97,8,90,30,-5,9B,Billy Joel,We Didn't Start the Fire,"80s, rock, classic rock, pop, billy joel","Harry Truman, Doris Day
Red China, Johnnie Ray
South Pacific
Walter Winchell, Joe DiMaggio
Joe McCarthy, Richard Nixon
Studebaker, Television
North Korea, South Korea
Marilyn Monroe

Rosenbergs, H-Bomb
Sugar Ray, Panmunjom
Brando, The King And I,
And The Catcher In The Rye
Eisenhower, vaccine
England's got a new queen
Marciano, Liberace
Santayana goodbye

We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it

Joseph Stalin, Malenkov
Nasser and Prokofiev
Rockefeller, Campanella
Communist Bloc
Roy Cohn, Juan Peron
Toscanini, Dacron
Dien Bien Phu Falls, ""Rock Around the Clock""
Einstein, James Dean
Brooklyn's got a winning team
Davy Crockett, Peter Pan
Elvis Presley, Disneyland
Bardot, Budapest, Alabama, Khrushchev
Princess Grace, Peyton Place
Trouble in the Suez

We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it
Little Rock, Pasternak
Mickey Mantle, Kerouac
Sputnik, Zhou En-lai
Bridge On The River Kwai
Lebanon, Charles de Gaulle
California baseball
Starkweather Homicide
Children of Thalidomide
Buddy Holly, Ben-Hur
Space Monkey, Mafia
Hula Hoops, Castro
Edsel is a no-go
U-2, Syngman Rhee
Payola and Kennedy
Chubby Checker, Psycho
Belgians in the Congo

We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it
Hemingway, Eichmann
Stranger in a Strange Land
Dylan, Berlin
Bay of Pigs invasion
Lawrence of Arabia
British Beatlemania
Ole Miss, John Glenn
Liston beats Patterson
Pope Paul, Malcolm X
British Politician sex
J.F.K. blown away
What else do I have to say?

We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it

Birth control, Ho Chi Minh
Richard Nixon back again
Moonshot, Woodstock
Watergate, punk rock
Begin, Reagan, Palestine
Terror on the airline
Ayatollahs in Iran
Russians in Afghanistan
Wheel of Fortune, Sally Ride
Heavy metal suicide
Foreign debts, homeless vets
AIDS, crack, Bernie Goetz
Hypodermics on the shores
China's under martial law
Rock and Roller cola wars
I can't take it anymore

We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
But when we are gone
It will still burn on, and on
And on, and on

We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it
We didn't start the fire
It was always burning
Since the world's been turning",287,280
Stuck With You,Huey Lewis & The News,66,121,04:29,70,54,9,63,0,-11,9A,Huey Lewis & The News,Stuck With You,"80s, pop, classic rock, rock, 1986","We've had some fun
Yes, we've had our ups and downs
Been down that rocky road
But here we are still around
We thought about someone else
But neither one took the bait
We thought about breaking up
Now we know it's much too late

We are bound by all the rest
Like the same phone number
All the same friends
And the same address

(Ooh) Yes, it's true (yes it's true)
I am happy to be stuck with you
(Ooh) Yes, it's true (yes it's true)
I'm so happy to be stuck with you
(Ooh) 'Cause I can see (I can see)
That you're happy to be stuck with me


(ooh, wa-ooh)
We've had our doubts
We never took them seriously
(ooh, wa-ooh)
And we've had our ins and outs
But that's the way it's s'posed to be
We thought about giving up (giving up)
But we could never stay away
We thought about breaking up (ooh, wa ooh)
But now we know it's much too late

And it's no great mystery (Ooh)
If we change our minds
Eventually
It's back to you and me

(Ooh) Yes, it's true (yes, it's true)
I am happy to be stuck with you
(Ooh) Yes, it's true (yes, it's true)
I'm so happy to be stuck with you
(Ooh) 'Cause I can see (I can see)
That you're happy to be stuck with me


We are bound by all the rest
Like the same phone number
All the same friends
And the same address

(Ooh) Yes, it's true (yes it's true)
I am happy to be stuck with you
(Ooh) Yes, it's true (yes it's true)
I'm so happy to be stuck with you
(Ooh) 'cause I can see (I can see)
That you're happy to be stuck with me
(Ooh, yes, it's true) I'm so happy to be stuck with you
(Ooh, wa-ooh) I'm happy to be stuck with you
(Ooh, wa-ooh) Happy to be stuck with you
(Ooh, yes, it's true)",269,260
