Song,Artist,Genre Tags,Tag Source
Never Tear Us Apart,INXS,"80s, rock, INXS, pop, australian",track
Sweet Child O' Mine,Guns N' Roses,"rock, hard rock, classic rock, 80s, Guns N Roses",track
Total Eclipse of the Heart,Bonnie Tyler,"80s, pop, female vocalists, rock, Ballad",track
The Sun Always Shines on T.V. - 2016 Remaster,a-ha,"80s, new wave, synthpop, pop, norwegian",track
Forever Young,Alphaville,"80s, pop, synthpop, new wave, synth pop",track
Walk Like an Egyptian,The Bangles,"80s, pop, female vocalists, new wave, rock",track
I Want To Break Free - Remastered 2011,Queen,"classic rock, rock, 80s, Queen, glam rock",track
Another Day in Paradise - 2016 Remaster,Phil Collins,"80s, pop, Phil Collins, soft rock, rock",track
Smooth Operator - Single Version,Sade,"soul, jazz, female vocalists, 80s, Sade",track
Back In Black,AC/DC,"hard rock, rock, classic rock, ACDC, heavy metal",track
The Look,Roxette,"80s, pop, rock, pop rock, Roxette",track
Vienna,Ultravox,"80s, new wave, synthpop, new romantic, pop",track
When Doves Cry,Prince,"80s, funk, pop, prince, rock",track
A View to a Kill,Duran Duran,"80s, pop, james bond, new wave, Soundtrack",track
Hello,Lionel Richie,"80s, soul, pop, lovesongs, romantic",track
The Way It Is,Bruce Hornsby and the Range,"80s, soft rock, piano, bruce hornsby, rock",track
Owner of a Lonely Heart,Yes,"80s, classic rock, Progressive rock, rock, yes",track
The Lady In Red,Chris de Burgh,"80s, pop, romantic, soft rock, Love",track
Private Investigations,Dire Straits,"rock, classic rock, 80s, dire straits, guitar",track
More Than This,Roxy Music,"80s, rock, new wave, pop, glam rock",track
Dancing in the Street - 2002 Remaster,"David Bowie,Mick Jagger","rock, classic rock, 80s, glam rock, pop",track
Steamy Windows,Tina Turner,"rock, pop, Tina Turner, 80s, female vocalists",track
Do You Really Want To Hurt Me,Culture Club,"80s, pop, new wave, culture club, 80's",track
Sign 'O' the Times,Prince,"funk, 80s, prince, pop, rock",track
Poison,Alice Cooper,"hard rock, rock, classic rock, 80s, metal",track
Dancing On The Ceiling,Lionel Richie,"80s, pop, Lionel Richie, soul, rnb",track
Love Will Tear Us Apart,Joy Division,"post-punk, new wave, 80s, alternative, Joy Division",track
Fast Car,Tracy Chapman,"folk, acoustic, female vocalists, 80s, singer-songwriter",track
Desire,U2,"rock, U2, 80s, irish, classic rock",track
True Colors,Cyndi Lauper,"80s, pop, female vocalists, cyndi lauper, Love",track
Paradise City,Guns N' Roses,"hard rock, rock, classic rock, 80s, Guns N Roses",track
Sharp Dressed Man - 2008 Remaster,ZZ Top,"rock, classic rock, Southern Rock, blues rock, 80s",track
Raspberry Beret,Prince,"80s, pop, funk, prince, rock",track
Running Up That Hill (A Deal With God),Kate Bush,"80s, female vocalists, pop, alternative, Kate Bush",track
It's My Life - 1997 Remaster,Talk Talk,"80s, new wave, pop, synthpop, synth pop",track
Little Lies,Fleetwood Mac,"80s, classic rock, pop, rock, soft rock",track
A Good Heart,Feargal Sharkey,"80s, pop, new wave, male vocalists, irish",track
Let It Whip,Dazz Band,"funk, 80s, dance, Disco, soul",track
Solid,Ashford & Simpson,"80s, soul, Disco, pop, rnb",track
If I Could Turn Back Time,Cher,"80s, pop, cher, female vocalists, rock",track
Don't Stop Believin',Journey,"classic rock, 80s, rock, journey, scrubs",track
Footloose - From  Footloose  Soundtrack,Kenny Loggins,"80s, Soundtrack, pop, rock, footloose",track
Under Pressure,"Queen,David Bowie","classic rock, rock, Queen, 80s, glam rock",track
You Give Love A Bad Name,Bon Jovi,"rock, 80s, hard rock, bon jovi, classic rock",track
We Built This City,Starship,"80s, classic rock, pop, rock, starship",track
Beat It,Michael Jackson,"pop, 80s, michael jackson, dance, rock",track
Holding Out for a Hero - From  Footloose  Soundtrack,Bonnie Tyler,"80s, pop, rock, female vocalists, Soundtrack",track
Don't You Want Me,The Human League,"80s, new wave, pop, synthpop, synth pop",track
Break My Stride,Matthew Wilder,"80s, pop, One Hit Wonders, one hit wonder, new wave",track
Karma Chameleon - Remastered 2002,Culture Club,"80s, pop, new wave, british, culture club",track
I'm Gonna Be (500 Miles),The Proclaimers,"80s, pop, rock, Scottish, happy",track
Thriller - 2003 Edit,Michael Jackson,"pop, 80s, michael jackson, dance, funk",track
The Power Of Love,Huey Lewis & The News,"80s, rock, Soundtrack, pop rock, pop",track
Hungry Like the Wolf - 2009 Remaster,Duran Duran,"80s, new wave, pop, duran duran, rock",track
Danger Zone - From  Top Gun  Original Soundtrack,Kenny Loggins,"80s, Soundtrack, rock, top gun, pop",track
Close To Me,The Cure,"80s, new wave, post-punk, alternative, rock",track
I Still Haven't Found What I'm Looking For - Remastered 2007,U2,"rock, U2, 80s, classic rock, irish",track
Invisible Touch - Remastered 2007,Genesis,"80s, rock, Progressive rock, pop, classic rock",track
Walk This Way (feat. Aerosmith),"Run–D.M.C.,Aerosmith","rock, hard rock, 80s, 1986, clear pronunciation",track
The Boys Of Summer,Don Henley,"80s, classic rock, rock, Don Henley, pop",track
White Wedding,Billy Idol,"80s, rock, classic rock, new wave, Billy Idol",track
Like a Prayer,Madonna,"pop, 80s, Madonna, dance, female vocalists",track
Let's Hear It for the Boy,Deniece Williams,"80s, pop, Disco, Soundtrack, footloose",track
I Think We're Alone Now,Tiffany,"80s, pop, female vocalists, Tiffany, dance",track
What A Feeling,Irene Cara,"80s, pop, Soundtrack, Disco, dance",track
Every Little Thing She Does Is Magic - Remastered 2003,The Police,"80s, rock, classic rock, new wave, pop",track
Word Up,Cameo,"funk, 80s, dance, pop, rnb",track
Here I Go Again 87 - 2017 Remastered Version,Whitesnake,"hard rock, heavy metal, Glam Metal, blues rock, rock",track
Ain't Nobody,Chaka Khan,"soul, 80s, funk, female vocalists, rnb",track
Love Shack,The B-52's,"80s, pop, new wave, rock, dance",track
Together In Electric Dreams - 2003 - Remaster,The Human League,"80s, new wave, pop, synthpop, new romantic",track
Sexual Healing,Marvin Gaye,"soul, motown, sexy, rnb, funk",track
Golden Brown,The Stranglers,"80s, new wave, rock, british, Soundtrack",track
Club Tropicana,Wham!,"80s, pop, new wave, british, summer",track
How Will I Know,Whitney Houston,"80s, pop, whitney houston, dance, female vocalists",track
I'm Coming Out,Diana Ross,"Disco, 80s, soul, motown, pop",track
Sweet Little Mystery,Wet Wet Wet,"80s, pop, wet wet wet, easy listening, male vocalists",track
Good Life,Inner City,"House, dance, 80s, 90s, techno",track
"When the Going Gets Tough, The Tough Get Going",Billy Ocean,"80s, pop, soul, Billy Ocean, Disco",track
All Night Long (All Night) - Single Version,Lionel Richie,"80s, soul, pop, dance, rnb",track
Pump Up The Jam,Technotronic,"dance, 80s, 90s, techno, electronic",track
I Knew You Were Waiting (For Me),"George Michael,Aretha Franklin","pop, 80s, duet, 1987, dance",track
"Get Outta My Dreams, Get Into My Car",Billy Ocean,"80s, pop, soul, Billy Ocean, Disco",track
Push It,Salt-N-Pepa,"80s, Hip-Hop, old school, dance, rap",track
Back To Life,"Soul II Soul,Caron Wheeler","soul, 80s, dance, rnb, pop",track
Upside Down,Diana Ross,"Disco, 80s, soul, motown, pop",track
Conga!,Miami Sound Machine,"latin pop, streamable track wants, conga, latin freestyle",track
You're the Voice,John Farnham,"80s, rock, pop, australian, classic rock",track
You Can't Hurry Love - 2016 Remaster,Phil Collins,"80s, pop, Phil Collins, rock, soft rock",track
I Won't Let The Sun Go Down On Me,Nik Kershaw,"80s, pop, new wave, british, nik kershaw",track
Gold - 2003 Remaster,Spandau Ballet,"80s, new wave, pop, new romantic, british",track
Islands in the Stream,"Dolly Parton,Kenny Rogers","country, duet, 123 drippy sappy, pop, soft rock",track
Into the Groove,Madonna,"80s, pop, dance, Madonna, female vocalists",track
The Best,Tina Turner,"80s, pop, Tina Turner, rock, female vocalists",track
Don't Go,Yazoo,"80s, new wave, synthpop, synth pop, pop",track
Sussudio - 2016 Remaster,Phil Collins,"80s, pop, Phil Collins, rock, classic rock",track
"The Look Of Love, Pt.1",ABC,"80s, dance-pop, synthpop, new romantic, a subtle use of vocal harmony",track
The Heat Is On - From  Beverly Hills Cop  Soundtrack,Glenn Frey,"80s, rock, pop, classic rock, Soundtrack",track
St. Elmos Fire (Man in Motion),John Parr,"80s, Soundtrack, pop, rock, new wave",track
Valerie,Steve Winwood,"80s, classic rock, pop, steve winwood, rock",track
Don't Stop 'Til You Get Enough,Michael Jackson,"pop, Disco, dance, 80s, michael jackson",track
Come On Eileen - Single Edit,"Dexys Midnight Runners,Kevin Rowland","80s, pop, new wave, british, rock",track
Let's Groove,"Earth, Wind & Fire","funk, Disco, soul, 80s, dance",track
Venus,Bananarama,"80s, pop, dance, female vocalists, Disco",track
Hungry Eyes - From  Dirty Dancing  Soundtrack,Eric Carmen,"80s, dirty dancing, Soundtrack, pop, soft rock",track
Mary's Prayer,Danny Wilson,"80s, pop, Scottish, 1987, smooth",track
Relax,Frankie Goes To Hollywood,"80s, pop, new wave, dance, british",track
Axel F,Harold Faltermeyer,"80s, Soundtrack, instrumental, electronic, synth pop",track
Wanna Be Startin' Somethin',Michael Jackson,"pop, 80s, michael jackson, dance, funk",track
The Whole Of The Moon - 2004 Remastered Version,The Waterboys,"80s, rock, folk rock, alternative, pop",track
New Sensation,INXS,"80s, rock, pop, INXS, new wave",track
All Around the World - Remastered,"Lisa Stansfield,Ian Devaney,Andy Morris","pop, female vocalists, 80s, soul, 90s",track
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,"pop, michael jackson, 80s, dance, soul",track
You Keep Me Hangin On,Kim Wilde,"80s, pop, Hi-NRG, rock, british",track
I Don't Want A Lover,Texas,"pop, rock, female vocalists, 90s, texas",track
Need You Tonight,INXS,"80s, rock, pop, INXS, new wave",track
Pour Some Sugar On Me,Def Leppard,"80s, rock, hard rock, classic rock, Def Leppard",track
Caribbean Queen (No More Love On the Run),Billy Ocean,"80s, pop, dance, soul, rnb",track
Wouldn't It Be Good,Nik Kershaw,"80s, pop, new wave, synthpop, nik kershaw",track
Lay All Your Love On Me,ABBA,"pop, Disco, abba, 70s, swedish",track
Nothing's Gonna Stop Us Now,Starship,"80s, pop, classic rock, rock, starship",track
We Didn't Start the Fire,Billy Joel,"80s, rock, classic rock, pop, billy joel",track
Stuck With You,Huey Lewis & The News,"80s, pop, classic rock, rock, 1986",track
Gloria,Laura Branigan,"80s, pop, dance, female vocalists, 1982",track
Good Thing,Fine Young Cannibals,"80s, pop, rock, british, new wave",track
I Got You Babe,"UB40,Chrissie Hynde","reggae, 80s, pop, UB40, reggae-pop",track
Perfect,Fairground Attraction,"80s, pop, female vocalists, Scottish, rock",track
Who Can It Be Now?,Men At Work,"80s, pop, new wave, rock, pop rock",track
Kokomo,The Beach Boys,"80s, pop, oldies, summer, classic rock",track
Let's Stay Together - 2015 Remaster,Tina Turner,"80s, soul, female vocalists, Tina Turner, rock",track
Addicted To Love,"Robert Palmer,Eric 'ET' Thorngren","80s, rock, classic rock, robert palmer, pop",track
Can't Take My Eyes Off You - Original Extended Version,Boys Town Gang,"Disco, pop, 80s, dance, cover",track
Maneater,Daryl Hall & John Oates,"80s, pop, rock, soul, 1982",track
Rain or Shine,Five Star,"80s, pop, female vocalists, acoustic, 80s Pop",track
Teardrops,Womack & Womack,"80s, soul, pop, Disco, teardrops",track
Down Under,Men At Work,"80s, pop, new wave, rock, australian",track
Rock Me Amadeus,Falco,"80s, pop, new wave, german, austrian",track
Higher Love,Steve Winwood,"80s, classic rock, pop, steve winwood, rock",track
Listen To Your Heart,Roxette,"80s, pop, Roxette, rock, female vocalists",track
Forever Your Girl,Paula Abdul,"80s, pop, dance, female vocalists, paula abdul",track
China In Your Hand - Single Version,T'Pau,"80s, pop, female vocalists, new wave, rock",track
Babooshka - 2018 Remaster,Kate Bush,"80s, female vocalists, pop, alternative, Kate Bush",track
Manic Monday,The Bangles,"80s, pop, female vocalists, 80's, rock",track
Tainted Love,Soft Cell,"80s, new wave, pop, synth pop, synthpop",track
Lovely Day,Bill Withers,"soul, 70s, funk, happy, rnb",track
Last Christmas,Wham!,"christmas, 80s, pop, xmas, Wham",track
Don't Dream It's Over,Crowded House,"80s, pop, rock, classic rock, crowded house",track
Wishing Well,Sananda Maitreya,Pop-with-a-soul,track
She Works Hard For The Money,Donna Summer,"Disco, 80s, pop, dance, she works hard for the money",track
Boys - Summertime Love,Sabrina,"80s, pop, Disco, italo-disco, female vocalists",track
Just an Illusion,Imagination,"Disco, 80s, funk, dance, pop",track
Another One Bites The Dust - Remastered 2011,Queen,"classic rock, rock, Queen, 80s, glam rock",track
Alive And Kicking,Simple Minds,"80s, new wave, rock, pop, Simple Minds",track
Cherish,Kool & The Gang,"80s, soul, love songs, pop, romantic",track
Looking For A New Love - Radio Edit,"Jody Watley,Louil Silas Jr.","80s, pop, dance, soul, female vocalists",track
Careless Whisper,George Michael,"80s, pop, George Michael, romantic, Love",track
I Don't Wanna Dance,The Harmony Group,"pop, female vocalists, american, X factor, rnb",artist
Start Me Up - Remastered 1993,The Rolling Stones,"classic rock, rock, the rolling stones, 80s, british",track
The Tide Is High,Blondie,"80s, new wave, pop, female vocalists, rock",track
Electric Avennue,The Harmony Group,,none
Everybody Wants To Rule The World,Tears For Fears,"80s, pop, new wave, Tears for Fears, rock",track
Casanova,Levert,"80s, rnb, soul, casanova, funky",track
Broken Wings,Mr. Mister,"80s, pop, soft rock, rock, classic rock",track
Papa Don't Preach,Madonna,"pop, 80s, Madonna, female vocalists, dance",track
She Drives Me Crazy,Fine Young Cannibals,"80s, pop, new wave, rock, british",track
Girls Just Want to Have Fun,Cyndi Lauper,"80s, pop, female vocalists, cyndi lauper, dance",track
Celebration,Kool & The Gang,"Disco, funk, 80s, dance, 70s",track
I Ran (So Far Away),A Flock Of Seagulls,"80s, new wave, synthpop, pop, new romantic",track
Time After Time,Cyndi Lauper,"80s, pop, female vocalists, cyndi lauper, new wave",track
Another Brick In The Wall - 2001 Remastered Version,Pink Floyd,"classic rock, rock, Progressive rock, Pink Floyd, Psychedelic Rock",track
Toy Soldiers,Martika,"80s, pop, female vocalists, martika, female vocalist",track
You Spin Me Round (Like a Record),Dead Or Alive,"80s, new wave, dance, pop, Disco",track
Cars,Gary Numan,"80s, new wave, electronic, synthpop, synth pop",track
Mickey,Toni Basil,"80s, pop, new wave, female vocalists, dance",track
Don't Worry Be Happy,Bobby McFerrin,"reggae, happy, 80s, a cappella, jazz",track
Maniac,Michael Sembello,"80s, pop, Soundtrack, flashdance, dance",track
Dude (Looks Like A Lady),Aerosmith,"rock, classic rock, hard rock, 80s, aerosmith",track
(I Just) Died In Your Arms,Cutting Crew,"80s, pop, rock, new wave, british",track
Straight Up,Paula Abdul,"80s, pop, dance, female vocalists, paula abdul",track
It Must Have Been Love - From the Film  Pretty Woman ,Roxette,"80s, pop, Ballad, Love, rock",track
Sign Your Name,Sananda Maitreya,"80s, 1988, a subtle use of vocal harmony, melodic songwriting, repetitive melodic phrasing",track
Blister In The Sun,Violent Femmes,"alternative, 80s, rock, indie, alternative rock",track
Enjoy the Silence,Depeche Mode,"80s, electronic, new wave, Depeche Mode, synth pop",track
Girls on Film - 2010 Remaster,Duran Duran,"80s, new wave, pop, duran duran, new romantic",track
The Wild Boys,Duran Duran,"80s, new wave, pop, duran duran, rock",track
La Isla Bonita,Madonna,"pop, 80s, Madonna, dance, female vocalists",track
Take My Breath Away,Berlin,"80s, pop, Soundtrack, female vocalists, new wave",track
Goody Two Shoes,Adam Ant,"80s, new wave, pop, british, Adam Ant",track
My Prerogative,Bobby Brown,"new jack swing, 80s, rnb, pop, dance",track
Oh L'Amour - 2011 Remaster,Erasure,"80s, pop, new wave, synthpop, dance",track
Wuthering Heights - 2018 Remaster,Kate Bush,"female vocalists, 80s, pop, alternative, singer-songwriter",track
Slave To Love,Bryan Ferry,"80s, pop, rock, new wave, british",track
West End Girls - 2018 Remaster,Pet Shop Boys,"80s, pop, new wave, synthpop, electronic",track
Don't Leave Me This Way (with Sarah Jane Morris),"The Communards,Sarah Jane Morris","80s, pop, dance, new wave, covers",track
Money's Too Tight (To Mention) - 2008 Remaster,Simply Red,"pop, 80s, simply red, soul, british",track
Waiting for a Girl like You,Foreigner,"80s, classic rock, rock, soft rock, pop",track
Cry Little Sister - Theme from ''Lost Boys'',Gerard McMann,"Soundtrack, lost boys, 80s, Gothic, vampire",track
Rock the Casbah - Remastered,The Clash,"punk, 80s, rock, punk rock, classic rock",track
Ghost Town,The Specials,"ska, 80s, reggae, two-tone, british",track
Rio - 2009 Remaster,Duran Duran,"80s, new wave, pop, duran duran, new romantic",track
Road to Nowhere - 2005 Remaster,Talking Heads,"80s, new wave, rock, pop, alternative",track
Happy Birthday,Altered Images,"80s, new wave, pop, Scottish, happy birthday",track
Behind the Mask,Eric Clapton,"blues, 80s, pop rock, blues rock, classic rock",track
Stand and Deliver,Adam & The Ants,"80s, new wave, post-punk, new romantic, pop",track
Easy Lover,"Philip Bailey,Phil Collins","80s, pop, soul, r&b, 1984",track
True,Spandau Ballet,"80s, pop, new wave, new romantic, british",track
I Don't Like Mondays,The Boomtown Rats,"80s, new wave, rock, classic rock, pop",track
The Power of Love,Jennifer Rush,"80s, pop, jennifer rush, female vocalists, Ballad",track
Hit Me With Your Rhythm Stick,"Ian Dury,The Blockheads","new wave, rock, 70s, punk, doctor who",track
Two Tribes,Frankie Goes To Hollywood,"80s, new wave, pop, Frankie goes to Hollywood, electronic",track
Can't Fight This Feeling,REO Speedwagon,"80s, classic rock, soft rock, rock, Power ballad",track
True Faith - 2015 Remaster,New Order,"80s, new wave, electronic, synthpop, dance",track
Every Breath You Take,The Police,"80s, rock, classic rock, The Police, pop",track
Only You,Yazoo,"80s, new wave, synth pop, synthpop, pop",track
Talkin' Bout a Revolution,Tracy Chapman,"folk, female vocalists, singer-songwriter, acoustic, rock",track
Bamboléo,Gipsy Kings,"happy, guitar, party, exotic, Flamenco",track
Eye of the Tiger,Survivor,"80s, rock, classic rock, Soundtrack, rocky",track
Welcome To The Jungle,Guns N' Roses,"hard rock, rock, 80s, classic rock, Guns N Roses",track
Ace of Spades,Motörhead,"heavy metal, hard rock, metal, rock, classic rock",track
Man in the Mirror,Michael Jackson,"pop, michael jackson, 80s, soul, king of pop",track
I Just Called To Say I Love You,Stevie Wonder,"soul, 80s, pop, Stevie Wonder, motown",track
Here Comes the Rain Again - Remastered Version,"Eurythmics,Annie Lennox,Dave Stewart","80s, pop, new wave, female vocalists, eurythmics",track
Gimme Hope Jo'anna,Eddy Grant,"reggae, 80s, dance, pop, political",track
All Out of Love,Air Supply,"80s, soft rock, romantic, pop, Love",track
Greatest Love of All,Whitney Houston,"80s, whitney houston, pop, Love, female vocalists",track
How Am I Supposed to Live Without You,Michael Bolton,"80s, romantic, pop, soft rock, Love",track
I'm Not In Love,10cc,"70s, classic rock, soft rock, pop, rock",track
Alone,Heart,"80s, rock, classic rock, female vocalists, heart",track
"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)","Dionne Warwick,Elton John,Gladys Knight,Stevie Wonder","pop, soul, rnb, Ballad, intricate melodic phrasing",track
Coming Around Again,Carly Simon,"female vocalists, pop, 80s, singer-songwriter, 70s",track
Saving All My Love for You,Whitney Houston,"80s, pop, whitney houston, female vocalists, soul",track
What's Love Got to Do with It,Tina Turner,"80s, pop, female vocalists, soul, rock",track
Didn't We Almost Have It All,Whitney Houston,"pop, 80s, whitney houston, soul, rnb",track
The Girl Is Mine (with Paul McCartney),"Michael Jackson,Paul McCartney","pop, 80s, soul, michael jackson, MySpotigramBot",track
Moonlight Shadow,Mike Oldfield,"80s, pop, new age, rock, female vocalists",track
Drive - 2017 Remaster,The Cars,"80s, new wave, pop, classic rock, rock",track
Liberian Girl - 2012 Remastered Version,Michael Jackson,"pop, michael jackson, 80s, soul, king of pop",track
Black Velvet,Alannah Myles,"rock, 80s, female vocalists, pop, Canadian",track
Shake You Down,Gregory Abbott,"80s, soul, Gregory Abbott, rnb, pop",track
Hallelujah,Leonard Cohen,"singer-songwriter, leonard cohen, folk, Canadian, spiritual",track
Right Here Waiting,Richard Marx,"80s, pop, love songs, Ballad, richard marx",track
