Song,Artist,Popularity,BPM,Dance,Energy,Acoustic,Happy,Loud,Camelot,Genre,Subgenre,Clean_Lyrics
Kiss,Prince,0.7125,0.3647058823529412,0.9294117647058824,0.23958333333333334,0.010101010101010102,0.7395833333333333,0.56,9B,pop,pop 80s,uh beautiful turn need body baby dusk ' til dawn need experience turn leave go show rich girl cool rule world particular sign compatible want extra time kiss got talk dirty baby wanna impress flirty mama know undress yeah want fantasy maybe could mine leave could good time oh rich girl cool rule world particular sign compatible want extra time kiss yes oh think wanna dance uh oh get got oh little girl wendy 's parade get get got woman girl rule world say rule world act age mama shoe size maybe could twirl watch dynasty attitude uh leave love food yeah rich girl cool rule world particular sign compatible want extra time kiss
Just Can't Get Enough,Depeche Mode,0.7125,0.4647058823529412,0.7764705882352941,0.7604166666666666,0.4040404040404041,0.9270833333333333,0.68,8B,electronic,electronic,baby go head get enough get enough thing everything say get enough get enough slip slide fall love seem get enough walk together walk street get enough get enough every time think know meet get enough get enough get hotter burn love seem get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough rain shine get enough get enough like rainbow know set free get enough get enough like angel give love seem get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough get enough
Like a Virgin,Madonna,0.6625000000000001,0.41764705882352937,0.7764705882352941,0.6458333333333334,0.15151515151515152,0.9791666666666665,0.6000000000000001,2A,pop,pop 80s,make wilderness somehow make know lost find beat incomplete sad blue make feel yeah make feel shiny new hoo like virgin touch first time like virgin heart beat next mine go give love boy fear fadin ' fast savin ' 'cause love last fine mine make strong yeah make bold oh love thaw yeah love thaw scared cold like virgin hey touch first time like virgin heartbeat next mine woah woah ah woah fine mine ' til end time 'cause make feel yeah make feel nothing hide like virgin hey touch first time like virgin heartbeat next mine like virgin ooh like virgin feel good inside hold heart beat love ohoh ohoh ohoh ohoh oh ooh baby yeah hear heart beat first time
Big in Japan,Alphaville,0.7125,0.28823529411764703,0.7529411764705882,0.38541666666666663,0.07070707070707072,0.21875,0.44000000000000006,7A,pop,pop 80s,winter 's city side crystal bit snowflake around head wind illusion would ever find glimpse summer 's heatwave eye history see comeback road thing happen wait man tonight easy big japan oh big japan tonight big japan tight big japan ooh eastern sea 's blue big japan alright pay sleep side thing easy big japan oh big japan neon naked skin pass silhouette strange illuminate mannequin shall stay zoo go change point view ugly scene history oh see thing happen wait man tonight easy big japan oh big japan tonight big japan tight big japan ooh eastern sea 's blue big japan alright pay sleep side thing easy big japan oh big japan tonight big japan tight big japan ooh eastern sea 's blue big japan alright pay sleep side thing easy big japan oh big japan oh big japan tonight big japan tight big japan ooh eastern sea 's blue big japan alright pay sleep side thing easy big japan oh big japan tonight big japan tight big japan ooh eastern sea 's blue big japan alright pay sleep side thing easy big japan oh big japan
Boys Don't Cry,The Cure,0.42500000000000004,0.711764705882353,0.4117647058823529,0.5833333333333334,0.020202020202020204,0.7395833333333333,0.48,10A,alternative,alternative,would say sorry think would change mind know time say much unkind try laugh cover lie try laugh hide tear eye 'cause boy cry boy cry would break foot beg forgiveness plead know late nothing try laugh cover lie try laugh hide tear eye 'cause boy cry boy cry would tell love think would stay know use already go away misjudge limit push far take grant think need would anything get back side keep laugh hide tear eye 'cause boy cry boy cry boy cry
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,0.825,0.4117647058823529,0.7058823529411765,0.8125,0.21212121212121213,0.875,0.68,3B,pop,pop 80s,ah yeah woo hey yeah ah ooh yeah uhhuh yeah wanna dance clock strike upon hour sun begin fade still enough time figure chase blue away alright ' til light day show night fall loneliness call oh wanna dance somebody wanna feel heat somebody yeah wanna dance somebody somebody love oh wanna dance somebody wanna feel heat somebody yeah wanna dance somebody somebody love love lose sense spinnin ' town soon later fever end wind feelin ' need man take chance love burn hot enough last night fall lonely heart call oh wanna dance somebody wanna feel heat somebody yeah wanna dance somebody somebody love oh wanna dance somebody wanna feel heat yeah wanna dance somebody somebody love somebody somebody somebody love yeah somebody somebody hold arm oh need man take chance love burn hot enough last night fall lonely heart call oh wanna dance somebody wanna feel heat somebody yeah wanna dance somebody somebody love oh wanna dance somebody wanna feel heat somebody yeah wanna dance somebody somebody love ooh ooh dance come baby dance woo yeah dance get woah dance wanna dance dance baby wanna dance dance boy hey wanna dance dance baby somebody love wanna dance say wanna dance wanna dance dance wanna dance say wanna dance wanna dance dance wanna dance say wanna dance uhhuh dance somebody love ooh ooh dance ooh ooh dance ooh ooh dance hey baby wanna love wanna love
Video Killed The Radio Star,The Buggles,0.6625000000000001,0.48235294117647065,0.6705882352941177,0.6666666666666666,0.10101010101010102,0.22916666666666663,0.56,3B,pop,pop 80s,hear wireless back ' 52 lie awake intently tune young stop come oha oha take credit second symphony rewrite machine new technology understand problem could see oha oha meet child oha oha tell video kill radio star video kill radio star picture come break heart ohaaaoh meet abandon studio oha hear playback seem long ago ohohohoha remember jingle use go oha oha first one oha oha last one video kill radio star video kill radio star mind car rewind go far ohaaaoh ohaaaoh video kill radio star video kill radio star mind car rewind go far picture come break heart put blame vcr radio star radio star video kill radio star radio star radio star video kill radio star video kill radio star radio star radio star video kill radio star video kill radio star radio star radio star video kill radio star video kill radio star radio star radio star video kill radio star video kill radio star radio star radio star video kill radio star video kill radio star radio star radio star video kill radio star video kill radio star
You Make My Dreams (Come True),Daryl Hall & John Oates,0.8,0.6941176470588235,0.7529411764705882,0.4791666666666666,0.23232323232323235,0.90625,0.56,7B,pop,pop rock,want get might hard handle like flame burn candle candle feed flame yeah yeah get full stock thought dream scatter pull together uh explain oh yeah well well oohooh oohoohooh make dream come true oohoohooh well well well oohooh oohoohooh oh yeah make dream come true oohoohooh well yeah night bad dream become screamer messin ' dreamer laugh face twist shout way wrap around 'cause way find never oh yeah well 'cause oohooh oohoohooh mmhmm make dream come true oh yeah oohoohooh well well well oohooh oohoohooh oohooh make dream come true oohoohooh oh yeah well listen ow daydream oh sleepwalk know well yeahyeah make dream come true oh yeah oohoohooh wait wait girl oohooh oohoohooh oh yeah make amy dream come true oohoohooh wait wait girl oohooh oohoohooh oh makin ' dream come true oh oohoohooh woahoohwoah waitin ' waitin ' waitin ' oohooh oohoohooh waitin ' waitin ' waitin ' waitin ' make dream oohoohooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh waitin ' girl oohooh oohoohooh make dream oohoohooh
Wonderful Life,Black,0.625,0.33529411764705885,0.7176470588235294,0.49999999999999994,0.7171717171717172,0.8229166666666666,0.56,9B,pop,pop 80s,go sea sunshine fill hair dream hang air gull sky blue eye know feel unfair magic everywhere look stand straight sunshine need run hide wonderful wonderful life need laugh cry wonderful wonderful life sun 's eye heat hair seem hate need friend oh need friend make happy stand look stand straight sunshine need run hide wonderful wonderful life need laugh cry wonderful wonderful life need friend oh need friend make happy alone look straight sunshine need run hide wonderful wonderful life need laugh cry wonderful wonderful life need run hide wonderful wonderful life need run hide wonderful wonderful life wonderful life wonderful life
Loco in Acapulco,Four Tops,0.48750000000000004,0.43529411764705883,0.8352941176470589,0.6979166666666666,0.4141414141414142,0.9791666666666665,0.64,12B,soul,soul 80s,go loco acapulco stay long yes go loco acapulco magic strong feel pressure back 's wall love gain fall afraid love afraid take chance well hide feeling get 'cause go loco acapulco stay long yes go loco acapulco magic strong hear voice bleed warm latin night memory lose find leave broken heart town 'cause go loco acapulco stay long yes go loco acapulco magic strong pull hair drown despair whole lot nothing way nowhere search paradise come end realize fool haunt face miss warm embrace memory love hold tight every night good part life hear voice soft low beg please please go go go go hear voice bleed warm latin night memory lose find leave broken heart town town 'cause go loco acapulco stay long yes go loco acapulco magic strong go loco acapulco stay long yes go loco acapulco magic strong go loco acapulco stay long yes go loco acapulco magic strong go loco acapulco go loco acapulco
Jump (For My Love),The Pointer Sisters,0.375,0.5,0.8823529411764706,0.6979166666666666,0.11111111111111112,0.8541666666666666,0.52,3A,pop,pop 80s,eye tell want feel heartbeat know like see hold give need wrap love around excited feel get hot oh baby take take one 's ever go want want jump love jump feel touch jump want taste kiss night jump jump love jump know heart make happy jump know arm feel jump want taste kiss night jump jump love tell woman nobody like make move try go much far oh baby one one heaven wait door want want jump love jump feel touch jump want taste kiss night jump jump love jump know heart make happy jump know arm feel jump want taste kiss night jump jump love next oh come alive love burn inside feel right come want tonight jump jump want taste kiss night jump jump jump jump know heart make happy jump know arm feel jump want taste kiss night jump jump love jump come jump jump know need jump get yeah jump jump love get jump yeah yeah jump yeah yeah yeah yeah jump hey yeah come jump jump jump love oh oh yeah jump ooh ooh jump oh baby jump yeah ooh yeah jump come jump jump love jump
The Safety Dance,Men Without Hats,0.5125000000000001,0.31176470588235294,0.49411764705882355,0.875,0.030303030303030304,0.6145833333333333,0.88,7B,pop,pop 80s,dance want leave friend behind 'cause friend dance dance well friend mine say go want place never find act like come world leave real one far behind dance danser go want night young dress real neat hat foot surprise victory cry say act want nobody act real rude totally removed act like imbecile say dance dance everything control dance dance pole pole dance dance everybody look hand dance dance everybody take chance safe dance well safe dance yes safe dance dance want get life mine long abuse never go lose everything work right say dance want leave friend behind 'cause friend dance dance well friend mine say dance dance everything control dance dance pole pole dance dance everybody look hand dance dance everybody take chance oh well safe dance ah yes safe dance oh well safe dance oh well safe dance oh yes safe dance oh safe dance yeah well safe dance safety dance oh safety dance oh safety dance oh safety dance oh safety dance
In The Army Now,Status Quo,0.4125000000000001,0.3294117647058824,0.6705882352941177,0.71875,0.11111111111111112,0.9479166666666666,0.72,8A,rock,rock 80s,vacation foreign land uncle sam good army oh oh army remember draft man say nothing day stay bed army oh oh army hero neighborhood nobody know leave good army oh oh army smile face wait land get one give damn army oh oh army hand grenade fly head missile flyin ' head wanna survive get bed army oh oh army shot ring dead night sergeant call stand fight army oh oh army army oh oh army get order well shoot sight finger trigger seem right army oh oh army army oh oh army night fall see illusion reality army oh oh army army army oh oh army army oh oh army army army oh oh army oh oh army army oh oh army army oh oh army army oh oh army army
1999,Prince,0.5125000000000001,0.4117647058823529,0.8941176470588235,0.71875,0.14141414141414144,0.625,0.72,7B,pop,pop 80s,worry hurt want fun dreamin ' write forgive go astray wake morning could swear judgement day sky purple people runnin ' everywhere tryin ' run destruction know even care 'cause say 2000 zerozero party oop time tonight go party like 1999 dreamin ' write sue go fast life party party mean last war around mind say prepare fight get die go listen body tonight yeah say 2000 zerozero party oop time tonight go party like 1999 yeah yeah shh lemme tell ya something come party bother knockin ' door oh uh ah get lion pocket baby ready roar yeah yeah everybody get bomb could die day oh let happen dance life away oh say 2000 zerozero party oop time runnin ' outta time tonight go party like 1999 tonight go go oh say one time 2000 zerozero party oop time tonight go party like 1999 tonight go go woo right 1999 say 1999 ooh 1999 oh 1999 stop stop say one time 2000 zerozero party oop time yeah yeah tonight go party like 1999 tonight go go woo yeah 1999 don'tcha wanna go 1999 don'tcha wanna go 1999 could die day 1999 wanna die would rather dance life away 1999 listen tryin ' say everybody everybody say party come say party right everybody say party run revelation party sing nation party wow drum finger baby party telephone 's aringin ' mama party come come say party everybody two time party woo work ground say party ooh ooh ooh ooh party come oh take body baby party right come sing song party oh party right party get lion pocket mama say party oh ready roar party ah mommy everybody bomb mommy everybody bomb
Uptown Girl,Billy Joel,0.8125,0.47058823529411764,0.6941176470588235,0.9375,0.08080808080808081,0.7916666666666666,0.92,12B,pop,pop 80s,uptown girl live uptown world bet never backstreet guy bet momma never tell go try uptown girl live whitebre world long anyone hot blood look downtown man know want time wake make mind see tough love uptown girl know see uptown world get tired high class toy present uptown boy get choice uptown girl know afford buy pearl maybe someday ship come understand kind guy win walk look fine talk say mine say tough love uptown girl live whitebre world long anyone hot blood look downtown man uptown girl uptown girl know love uptown girl uptown girl know love uptown girl uptown girl know love uptown girl uptown girl know love uptown girl
Heaven Is A Place On Earth,Belinda Carlisle,0.675,0.43529411764705883,0.6235294117647059,0.84375,0.020202020202020204,0.7916666666666666,0.72,12A,pop,pop 80s,ooh baby know worth ooh heaven place earth say heaven love come first make heaven place earth ooh heaven place earth night fall wait come around world 's alive sound kid street outside walk room pull close start move spinnin ' star lift wave love ooh baby know worth ooh heaven place earth say heaven love come first make heaven place earth ooh heaven place earth feel alone reach bring home lose sea hear voice carry world beginnin ' understand miracle livin ' baby afraid afraid anymore ooh baby know worth ooh heaven place earth say heaven love come first make heaven place earth ooh heaven place earth heaven heaven heaven world beginnin ' understand miracle livin ' baby afraid afraid anymore heaven ooh baby know worth ooh heaven place earth say heaven love come first make heaven place earth ooh heaven place earth ooh heaven place earth ooh heaven place earth ooh heaven place earth ooh heaven place earth ooh heaven place earth ooh heaven place earth ooh heaven place earth ooh heaven place earth
Red Red Wine,UB40,0.7000000000000001,0.23529411764705888,0.8823529411764706,0.44791666666666663,0.0,0.84375,0.68,3B,pop,pop 80s,red red wine go head make forget still need red red wine 've memory go memory go would swear time thought would leave head wrong find one thing make forget red red wine stay close let alone tear apart blue blue heart would swear time thought would leave head wrong find one thing make forget red red wine stay close let alone tear apart blue blue heart red red wine make feel fine keep rockin ' time red red wine make feel grand feel million dollar hand red red wine make feel sad time see go make feel bad red red wine make feel fine monkey pack rizla pon sweet dep line red red wine red red wine give whole heap ze whole heap ze make thing red red wine really know fi love kind lovin' like blessing red red wine love right start right start heart red red wine eighty style red red wine modern beat style yeah would swear give little time help clear mind time give little time help clear mind thought would leave head give red wine kind make feel fine make feel fine time red red wine make feel fine monkey pack rizla pon sweet dep line line break monkey get choke burn bad ganja pon little rowing boat red red wine red red wine go hold hold 'cause know love true stay close red red wine go love ' til die love ' til die lie let alone red red wine get mind wherever may surely find tearin ' apart surely find make fuss blue blue heart stick would swear give little time help clear mind time give little time help clear mind thought would leave head give red wine kind make feel fine make feel fine time red red wine make feel fine monkey pack rizla pon sweet dep line line break monkey get choke burn bad ganja pon little rowing boat red red wine red red wine really know fi love kind lovin' like blessing stay close red red wine love right start right start heart let alone red red wine give whole heap ze whole heap ze make thing red red wine eighty style red red wine modern beat style yeah red red wine make feel fine keep rockin ' time red red wine red red wine make feel grand feel million dollar hand stay close red red wine make feel sad time see go make feel bad let alone red red wine make feel fine monkey pack rizla pon sweet dep line
(Feels Like) Heaven,Fiction Factory,0.5625,0.4,0.5058823529411764,0.8125,0.21212121212121213,0.71875,0.6000000000000001,5B,pop,pop 80s,heaven close today sound ear believe thing say echo fear twist bone snap scream one know say familiar cold touch turn go feel like heaven feel like heaven see plan saddened eye tear pave way fight fever know hair return gray study face fade frame close comfort recall though harmony linger turn sour feel like heaven feel like heaven want give see feel see live ohooh feel like heaven heaven close heaven close feel like heaven heaven close heaven close feel like heaven heaven close heaven close feel like heaven heaven close heaven close feel like heaven heaven close heaven close feel like heaven heaven close
Always on My Mind,Pet Shop Boys,0.675,0.44705882352941173,0.49411764705882355,0.7708333333333334,0.010101010101010102,0.7291666666666666,0.6000000000000001,9B,pop,pop 80s,cover country standard write johnny christopher mark james wayne carson first record brenda lee make famous willie nelson elvis presley numerous artist maybe treat quite good maybe love quite often could little thing say never take time always mind always mind maybe hold lonely lonely time guess never tell happy mine make feel second good sorry blind always mind always mind tell tell sweet love die give one chance keep satisfied satisfied little thing say never take time always mind always mind tell tell sweet love die give one chance keep satisfied always mind always mind always mind always mind always mind always mind maybe treat quite good maybe love quite often could maybe hold lonely lonely time guess never tell happy mine maybe love
Walking On Sunshine,Katrina & The Waves,0.7750000000000001,0.35882352941176476,0.5764705882352941,0.8645833333333334,0.010101010101010102,0.9479166666666666,0.56,6B,pop,pop 80s,ow mmm yeah use think maybe love baby sure wait ' til day knock door every time go mailbox get hold 'cause wait ' til write come around walk sunshine whoaoh walk sunshine whoaoh walk sunshine whoaoh feel good hey alright feel good hey yeah use think maybe love know true want spend whole life await want back weekend back day ahnono say baby want back want stay oh yeah walk sunshine whoaoh walk sunshine whoaoh walk sunshine whoaohoh feel good hey alright feel good yeah oh yeah feel good walk sunshine walk sunshine feel alive feel love feel love really real feel alive feel love feel love really real sunshine baby oh oh yeah sunshine baby oh walk sunshine whoaoh walk sunshine whoaoh walk sunshine whoaohoh feel good hey alright feel good say say say feel good ho yeah feel good feel good say say say feel good oh feel good tell tell tell feel good ho yeah feel good oh feel good feel good feel good oh yeah oh yeah oh yeah feel good oh yeahyeahyeah oh yeah oh yeah oh yeahyeahyeahyeahyeah feel good oh yeahyeah oh yeahyeah feel good oh yeahyeahyeah woo feel good
You Can Call Me Al,Paul Simon,0.7625,0.4647058823529412,0.788235294117647,0.75,0.18181818181818182,0.8229166666666666,0.72,7B,pop,pop 80s,man walk street say soft middle soft middle rest life hard need photoopportunity want shot redemption wanna end cartoon cartoon graveyard bone digger bone digger dog moonlight far away welllit door mr beer belly beer belly get mutt away know find stuff amusing anymore uh would bodyguard longlost pal call betty betty call call al man walk street say short attention get short little span attention woah night long wife family die role model role model go go duck back alley uh rolypoly little batfaced girl along along incident accident hint allegation uh would bodyguard longlost pal call betty betty call call al call al man walk street street strange world maybe third world maybe first time around speak language hold currency foreign man surround sound sound ooh ooh cattle marketplace scatterling orphanage look around around see angel architecture spinning infinity say amen hallelujah would bodyguard longlost pal call betty betty call call al call na na nana na na nana na na nana na na nana nana na na nana nana nana na na na na nana na na nanana bodyguard ooh call betty ooh bodyguard call betty bodyguard
Blue Monday '88,New Order,0.6000000000000001,0.4764705882352941,0.6705882352941177,0.8854166666666666,0.0,0.9583333333333333,0.72,9B,electronic,electronic,tell feeeeeeeeeeeeee feel treat like lay hand upon tell think mistaken think hear word tell feel tell feel come live vocation past completion turn away still find hard say need say quite sure tell feel today see ship harbour shall obey misfortune would heavenly person today think mistaken think hear speak tll feel tell feel stand hre wait stand wait fire fire fire fire fire geisha geisha think tell leave walk beach tell feel heart grow cold
Sledgehammer,Peter Gabriel,0.6000000000000001,0.27647058823529413,0.6470588235294118,0.6770833333333334,0.020202020202020204,0.40625,0.8400000000000001,3B,rock,rock 80s,hey hey tell could steam train lie track could aeroplane fly bring blue sky back call anything need could big dipper go around bend could bumper car bump amusement never end wanna sledgehammer call name wow oh let sledgehammer testimony yeah yeah show ' round fruit cage 'cause honey bee open fruit cage fruit sweet wanna sledgehammer call name would well call sledgehammer put mind rest go sledgehammer testimony wow sledgehammer let doubt sledge sledge sledgehammer get right kick habit kick habit kick habit shed skin shed skin new stuff new stuff go dance go dance oh show show show show hey show huh show show yeah yeah yeah yeah yeah mean show come show go build power build build power hah show hah feed rhythm huh feed rhythm show go feel power hey build show hah come come help come come help show yeah yeah yeah yeah yeah yeah yeah yeah show feed rhythm feed rhythm show day night show come come help come come help show yeah yeah yeah yeah yeah yeah yeah yeah show feed rhythm
Brother Louie,Modern Talking,0.7375,0.3529411764705882,0.788235294117647,0.8333333333333334,0.4040404040404041,0.8333333333333333,0.68,5A,pop,pop 80s,deep love burn fire stay 'cause flame grow high babe let steal heart easy easy girl game last forever live together try let take love good see brother louie louie louie love set free oh look love break heart brother louie louie louie love 's paradise oh look brother louie louie louie oh look oh let louie undercover brother louie louie louie oh leave louie 'cause lover stay 'cause boy want gamble stay love 's handle girl oh come stay forever ever go pretend love never end babe let steal love good see brother louie louie louie love set free oh look love break heart brother louie louie louie love 's paradise oh look brother louie louie louie oh look oh let louie undercover brother louie louie louie oh leave louie 'cause lover brother louie louie louie oh look oh let louie undercover brother louie louie louie oh leave louie 'cause lover brother louie louie oh look oh let louie
