Song,Artist,Popularity,BPM,Dance,Energy,Acoustic,Happy,Loud,Camelot,Genre,Subgenre,Clean_Lyrics,Power,sqrt_Acoustic,sqrt_BPM
The King,Sarah Kinsley,0.5125000000000001,0.3529411764705882,0.611764705882353,0.6526315789473685,0.08080808080808081,0.7263157894736842,0.8,2B,indie,indie pop,build time machine see hear phone call voice hall way back dance rain foot pavement say second head know exactly mean tell get old let everything scared still young still free want king heart lt fall apart start see end build castl far away sand high know nothing lose wash away hand say could never love well must fate cause know exactly end tell get old let everything scared still young still free want king heart let fall apart start see end want king king king want king,0.6563146997929608,0.2842676218074806,0.44114136834784423
I Like That,Janelle Monáe,0.4750000000000001,0.5058823529411764,0.43529411764705883,0.42105263157894735,0.030303030303030304,0.1473684210526316,0.68,8B,rnb,rnb,sometimes mystery sometimes free depend mood attitude sometimes wanna roll stay home walking contradiction guess factual fiction little crazy little sexy little cool little rough around edge keep smooth always leave center right belong random minor note hear major song like really give fuck one like never like follow follow around chase oh oh oh oh oh oh oh oh oh oh oh oh like care look like feel good well amazing well could tell whole world venom antidote take different type girl keep whole world afloat cause crazy sexy cool little rough around edge keep smooth always leave center right belong random minor note hear major song like really give fuck one like never like follow follow around chase oh oh oh oh oh oh oh oh oh oh oh oh like remember call weird math class third row sit right mr ammonds class like cause mama could afford new js polo thrift store thrift clothe know remember like uh remember laugh cut perm rate six like damn like like even back tear eye always know shit like really give fuck one like never like follow follow around chase like oh oh oh oh ooh like oh oh oh oh oh yeah like oh oh oh oh yeah like like,0.653209109730849,0.17407765595569782,0.5922756984270574
What You Waiting For?,Gwen Stefani,0.5875,0.511764705882353,0.6705882352941177,0.9473684210526316,0.05050505050505051,0.7368421052631579,0.92,7B,pop,pop dance,amazing time family year go ticktock ticktock ticktock ticktock ticktock ticktock ticktock ticktock la la la la la la la like cat heat stick move car scary conversation shut eye find brake say climber naturally worried alone really care cause life never know could great take chance cause might grow oh ohoh wait wait wait wait wait wait wait wait wait wait ticktock ticktock ticktock ticktock take chance stupid ho like echo pedal repeat know heart stand one place uhhuh bear blossom bloom perish moment run cause sex chromosome know mess society think sure life short capable uhhuh oh ohoh look watch still superhot female get milliondollar contract wait hot track wait wait wait wait wait wait wait wait wait wait wait go back japan get lot brand new fan osaka tokyo harajuku girl damn get wicked style go look watch still superhot female get milliondollar contract wait hot track wait wait wait wait wait wait wait wait wait wait wait wait take chance stupid ho take chance stupid ho wait wait wait take chance stupid ho take chance stupid ho,0.7774327122153211,0.22473328748774737,0.5977835438684118
Tower of Song,Leonard Cohen,0.32500000000000007,0.30000000000000004,0.8117647058823529,0.14736842105263157,0.6767676767676768,0.6,0.20000000000000007,12B,folk,folk rock,well friend go hair grey ache place use play crazy love come pay rent every day tower song say hank williams lonely get hank williams answer yet hear cough night long oh hundred floor tower song bear like choice bear gift golden voice twentyseven angel great beyond tie table right tower song stick little pin voodoo doll sorry baby look like stand window light strong ah let woman kill tower song say grow bitter may sure rich get channel bedroom poor mighty judgement come may wrong see hear funny voice tower song see stand side know river get wide love baby way back bridge burn might cross feel close everything lose well never well never lose bid farewell know ill back move tomorrow tower track hear baby long go ill speak sweetly window tower song yeah friend go hair grey ache place use play crazy love come pay rent every day tower song,0.6594202898550725,0.8226589066968624,0.3846820338873307
The Night We Met,Lord Huron,0.8875,0.7352941176470588,0.4,0.3368421052631579,0.9797979797979799,0.07368421052631578,0.64,11B,indie,indie folk,ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh traveler repay debt search trail follow take back night meet tell hell suppose tell ride along none take back night meet know suppose haunt ghost oh take back night meet night full terror eye fill tear touch yet oh take back night meet none take back night meet know suppose haunt ghost take back night meet,0.68944099378882,0.9898474527915803,0.7938434318778738
Sex on Fire,Kings of Leon,0.825,0.611764705882353,0.5058823529411764,0.9052631578947368,0.0,0.35789473684210527,0.8,11B,indie,indie rock,lay layin make sound know watchin watchin commotion kiddielike play people talkin talkin sex fire dark alley breakin day head drivin drivin soft lip open knuckle pale feel like dyin dyin sex fire consume transpire hot fever rattlin bone could taste taste forever tonight oh still great great great sex fire sex fire ah consume transpire sex fire consume transpire,0.5072463768115942,0.0,0.688493245591125
Waterloo,ABBA,0.7125,0.5823529411764706,0.4,0.9473684210526316,0.4040404040404041,0.6526315789473685,0.8400000000000001,10B,pop,pop 70s,waterloo napoleon surrender oh yeah meet destiny quite similar way history book shelf always repeat waterloo defeat war waterloo promise love forevermore waterloo could escape want waterloo know fate woah woah woah woah waterloo finally face waterloo try hold back strong oh yeah seem chance give fight could ever refuse feel like win lose waterloo defeat war waterloo promise love forevermore waterloo could escape want waterloo know fate woah woah woah woah waterloo finally face waterloo could ever refuse feel like win lose waterloo could escape want waterloo know fate woah woah woah woah waterloo finally face waterloo ooh waterloo know fate woah woah woah woah waterloo finally face waterloo ooh waterloo know fate,0.5807453416149069,0.6356417261637283,0.6623615621354051
April Come She Will,Simon & Garfunkel,0.5625,0.31176470588235294,0.44705882352941173,0.14736842105263157,0.8686868686868687,0.3368421052631579,0.4,11B,folk,folk,april come stream ripe swell rain may stay rest arm june shell change tune restless walk shell prowl night july fly give warning flight august die must autumn wind blow chilly cold september ill remember love new grow old,0.7577639751552796,0.9320337272260424,0.3974412879109832
Empty Mansions,Local Natives,0.17500000000000004,0.33529411764705885,0.6470588235294118,0.6000000000000001,0.27272727272727276,0.7157894736842105,0.72,4A,indie,indie pop,every really one fault history cloudy memory doubt remember curtain call hold ground underneath waterfall blame blame oh ooh never need help never ask oh blame blame oh ooh never need help never ask stumble wind think make way empty mansion road shore fall slowly one notice blame blame oh ooh never need help never ask oh blame blame oh ooh never need help never ask blame blame oh ooh never need help never ask oh blame blame oh ooh never need help never ask,0.5590062111801243,0.5222329678670935,0.4225899018584234
Kids,MGMT,0.825,0.43529411764705883,0.4,0.9263157894736842,0.0,0.1473684210526316,0.88,11B,electronic,electronic,five four three two one ah child crawlin knee toward makin mama proud voice loud like watch laughin pick insect plant time think consequence control take need family tree want haunt control take need family tree want haunt water warm sendin shiver baby bear cryin attention memory fade like lookin fogged mirror decision decision make buy think would hurt lot guess control take need family tree want haunt control take need family tree want haunt control take need family tree want haunt control take need family tree want haunt control take need family tree want haunt control take need family tree,0.6873706004140787,0.0,0.524518634325317
Lavender Haze,Taylor Swift,0.7000000000000001,0.2823529411764706,0.7411764705882353,0.42105263157894735,0.23232323232323235,0.07368421052631578,0.6000000000000001,6A,pop,pop synthpop,meet midnight stare ceiling oh ever say much really read melancholia scrutiny yeah oh yeah handle beautifully yeah oh yeah shit new yeah oh yeah feel lavender haze creep surreal damned give damn people say deal 1950 shit want wanna stay lavender haze keep ask keep ask go bride kinda girl see kinda girl see onenight wife find dizzy yeah oh yeah bring history yeah oh yeah even listen yeah oh yeah feel lavender haze creepin surreal damned give damn people say deal 1950 shit want wanna stay lavender haze lavender haze talk talk go viral need love spiral get chest get desk get desk talk talk go viral need love spiral get chest get desk feel feel lavender haze creep surreal damned give damn people say deal deal 1950 shit want wanna stay lavender haze get chest get desk lavender haze wanna stay wanna stay lavender haze,0.5600414078674949,0.48199920365414745,0.3653014711502385
Historians,Lucy Dacus,0.25,0.11764705882352944,0.05882352941176472,0.0,0.9797979797979799,0.021052631578947364,0.48,10B,indie,indie,say go change ill rearrange let ill historian mine ill fill page scribble ink hope word carry meaning one day motorcade cover flower wreath first big parade come take one away leave plenty read want talk somehow word leave mouth complete beginning bow past meet future would hold,1.0,0.9898474527915803,0.1675449083710152
Lose Yourself,Eminem,0.75,0.7176470588235294,0.6823529411764706,0.7263157894736842,0.010101010101010102,0.031578947368421054,0.8400000000000001,10B,hip hop,hip hop,look one shot one opportunity seize everything ever want one moment would capture let slip yo palm sweaty knee weak arm heavy vomit sweater already mom spaghetti nervous surface look calm ready drop bomb keep forget write whole crowd go loud open mouth word come chokin everybodys jokin clock run time blaow snap back reality ope go gravity ope go rabbit choke mad give easy know whole back rope matter dope know break stagnant know go back mobile home back lab yo old rhapsody well go capture moment hope pass well lose music moment well never let go go get one shot miss chance blow opportunity come lifetime yo well lose music moment well never let go go get one shot miss chance blow opportunity come lifetime yo well soul escape hole gape world mine taking make king move toward new world order normal life boring superstardom close postmortem grow hard homie grow hot blow hoe coasttocoast show know globetrotter lonely road god know grow far home father go home barely know daughter hold nose cause go cold water hoe want mo cold product move next schmoe flow nosedove sell nada soap opera tell unfold suppose old partner beat go dadadom dadom dahdahdahdah well lose music moment well never let go go get one shot miss chance blow opportunity come lifetime yo well lose music moment well never let go go get one shot miss chance blow opportunity come lifetime yo well game change call rage tear motherfuckin roof like two dog cage playin beginning mood change chew spit boo stage keep rhymin step right next cypher well believe somebodys payin pied piper pain inside amplify fact get nineto five provide right type life family cause man goddamn food stamp buy diaper movie mekhi phifer life time hard gettin even hard tryna feed water seed plus teetertotter catch bein father prima donna babymama drama screamin much wanna stay one spot another day monotony get point like snail get formulate plot end jail shot success motherfuckin option failure mom love trailer get go grow old salem lot go shot foot fail may opportunity get well lose music moment well never let go go get one shot miss chance blow opportunity come lifetime yo well lose music moment well never let go go get one shot miss chance blow opportunity come lifetime yo well anything set mind man,0.68944099378882,0.10050378152592121,0.7791986987067918
Revenge,XXXTENTACION,0.8125,0.5352941176470588,0.7529411764705882,0.21052631578947367,0.787878787878788,0.15789473684210525,0.4,10A,alternative,alternative rock,think think finally find way forgive mistake make past think first step right agree dig two grave dear pretend perfect leavin fear oh man world thing hear could act revenge would kill steal break heart think would let go let walk well broken heart break bone break fast wanna let go grave ill rot dig two grave dear pretend perfect leavin fear oh man world thing hear could act revenge would kill steal break heart think would let go let walk well broken heart break bone break fast wanna let go grave ill rot grave ill rot grave ill rot grave ill rototot grave ill rot grave ill rototot grave ill rot grave ill rot ill rot ill rot ill rot pain freedom pain freedom enjoy,0.658385093167702,0.8876253645985946,0.6196149899978809
Solo,Frank Ocean,0.7000000000000001,0.5,0.42352941176470593,0.25263157894736843,0.8585858585858587,0.24210526315789477,0.6000000000000001,4A,soul,soul rnb,hand towel dirty dancing go tab acid form circle watch jagger might lose jacket hit solo one time loud public police turn function outside timing perfect forgot tell get tell much vibe get solo stay away highway eye like red light right prefer yellow redbone mellow fuck round cuttin think well solo get act right windy city night tree blow blow owe two gram sunrise smokin good rollin solo solo solo solo solo ssolo solo ssolo solo hell earth city fire inhale hell heaven bull matador duel sky inhale hell heaven ah oh oh oh oh ohooh oh oh solo ah solo solo ah solo skippin shower switchin sock sleepin good long bone feelin dense fuck wish nigga would cross catch solo time white leaf boxer green leaf turn vapor low mean cheap cause shit free know even love cause nut cost clinic kill soul get hit pussy raw though baby mama vicious want picket fence protest picket sign court side let fly solo yeah want act right colorado night bring tree blow stay til phone die smokin big rollin solo hell earth city fire inhale hell heaven bull matador duel sky inhale hell heaven ooh ah oh oh oh ah oh oh oh ohooh oh oh oh oh solo ah ah solo woo solo woo solo solo nah solo ah ooh solo woo nah ah solo,0.7422360248447206,0.9265990819042822,0.5867474155006827
Break Your Heart,Taio Cruz,0.65,0.4294117647058824,0.5882352941176471,0.9263157894736842,0.030303030303030304,0.5684210526315789,0.88,5B,dance,dance pop,woah woah woah woah uh listen baby oh ohoh oh oh love leave oh ohoh oh oh call heartbreaker oh ohoh oh oh wanna deceive oh ohoh oh oh fall easy please might tear apart tell start baby start go break break break break heart go break break break break heart go break break break break heart go break break break break heart uh woah woah point tryna hide oh ohoh oh oh point tryna evade oh ohoh oh oh know get problem oh ohoh oh oh problem misbehavin oh ohoh oh oh fall easy please might tear apart tell start baby start go break break break break heart go break break break break heart go break break break break heart go break break break break heart uh woah woah woah woah eh know karmas go get back bein cold eh like big bad wolf bear bad bad bone eh fall go tear apart eh tell start eh go break break break break heart go break break break break heart go break break break break heart go break break break break heart go break break break break heart go break break break break heart go break break break break heart go break break break break heart uh woah woah woah woah,0.6873706004140787,0.17407765595569782,0.5187259013000389
Landslide,The Chicks,0.625,0.5705882352941176,0.5411764705882353,0.4105263157894737,0.5353535353535354,0.43157894736842106,0.76,10B,pop,pop,take love take climb mountain turn around see reflection snowcovere hill well landslide bring oh mirror sky love child within heart rise sail change ocean tide handle season life ohoh ohoh ohoh well afraid change cause build life around time make bolder child get old get old well well afraid change cause build life around time make bolder child get old get old well get old take love take yeah climb mountain turn around see reflection snowcovere hill well landslide bring see reflection snowcovere hill well maybe well maybe well maybe landslide bring,0.7536231884057971,0.7316785737969477,0.6517854878217224
Joan of Arc,Leonard Cohen,0.21250000000000002,0.4117647058823529,0.48235294117647065,0.06315789473684211,0.9191919191919192,0.09473684210526316,0.36,9B,folk,folk,flame follow joan arc come ride dark moon keep armor bright man get smoky night say tired war want kind work wedding dress something white wear upon swollen appetite la da da la da da la la la la la la la la la la la da la la la da da da la la da da da da well glad hear talk way know watch ride every day something yearn win cold lonesome heroine sternly speak one beneath smoke fire reply love solitude love pride la la la la da da la la da da da da la la la la la da la la la la la da la la da da da da fire make body cold go give mine hold say climb inside one bride deep fiery heart take dust joan arc high wedding guest hang ashe wedding dress la da da la da da la la da da la da la da da da la da la da da la la la la la da da da da deep fiery heart take dust joan arc clearly understand fire oh must wood see wince see cry see glory eye long love light must come cruel oh bright la da dla la da da la la la la la da la la la la la da la da da la la la la da da da da da,0.8788819875776398,0.9587449708822045,0.5012037753793719
(Everything I Do) I Do It For You,Bryan Adams,0.75,0.48235294117647065,0.49411764705882355,0.3263157894736842,0.08080808080808081,0.28421052631578947,0.52,3B,rock,rock 90s,look eye see mean search heart search soul find search tell worth tryin tell worth dyin know true everything look heart find nothin hide take take life would give would sacrifice tell worth fightin help nothin want know true everything love like love could give love nowhere unless time way yeah look heart babe yeah oh yeah oh tell worth tryin help nothin want yeah would fight lie walk wire yeah die know true everything oh everything darling well see see oh yeah yeah search heart search soul tell worth die oh yeah ill yeah oh ill walk wire yeah die oh yeah time go way way yeah take hand ow,0.5879917184265011,0.2842676218074806,0.5700376280192065
Wicked Games,The Weeknd,0.6625000000000001,0.38235294117647056,0.5882352941176471,0.5473684210526315,0.020202020202020204,0.24210526315789477,0.76,11B,rnb,rnb,woah woah ehh leave girl back home love shell never fucking know fuck eye stare let see ass look cash empty card fuck lean bring love baby could bring shame bring drug baby could bring pain get heart right get scar right bring cup baby could bring drank bring body baby could bring fame motherfucking word let motherfucke love listen ill give get get need confidence yeah yeah yeah ohh yeah ohh listen ill give give need woah woah tell love tonight night even though love ohh ohh tell love ill give need ill give even though love ohh ohh yeah yeah yeah yeah let see dance love watch dance take another level get dance devil take shot warn shit smell baby put perfume bring love baby could bring shame bring drug baby could bring pain oh get heart right oh get scar right bring cup baby could bring drank bring body baby could bring fame motherfucking word ayy let motherfucke love listen ill give get get need confidence confidence ooh eh ehh listen ill give ooh give need need tell love yeah tonight night even though love ohh ohh tell love ill give need ill give even though love ohh ohh ohh,0.6594202898550725,0.1421338109037403,0.4715019802514253
Blister In The Sun,Violent Femmes,0.38750000000000007,0.2823529411764706,0.7176470588235294,0.4105263157894737,0.20202020202020204,0.9263157894736842,0.56,9B,alternative,alternative rock,walk strut stuff yeah string high kite might stop check let go like blister sun let go big hand know one body beat stain sheet even know girlfriend end start cry let go like blister sun let go big hand know one walk strut stuff yeah string high kite might stop check mmnana mmnana walk strut stuff yeah string high kite might stop check mmna mmna body beat stain sheet even know girlfriend end start cry walk strut stuff yeah string high kite might stop check let go like blister sun let go big hand know one,0.5258799171842651,0.44946657497549475,0.3653014711502385
Hello,Lionel Richie,0.6375000000000001,0.07647058823529412,0.3647058823529412,0.17894736842105263,0.6565656565656566,0.031578947368421054,0.44000000000000006,8A,soul,soul 80s,alone inside mind dream kiss lip thousand time sometimes see pass outside door hello look see eye see smile ever want arm open wide cause know say know want tell much love long see sunlight hair tell time time much care sometimes feel heart overflow hello get let know cause wonder wonder somewhere feel lonely someone love tell win heart get clue let start say love hello look cause wonder wonder somewhere feel lonely someone love tell win heart get clue let start say love,0.7308488612836439,0.8102873913406629,0.11207170886946849
My Love Mine All Mine,Mitski,0.8625,0.38235294117647056,0.45882352941176474,0.2736842105263158,0.8787878787878789,0.09473684210526316,0.44000000000000006,11B,indie,indie,moon hole light big top tent high shinin moon tell could send heart die must could shine cause love mine mine love mine nothing world belong love mine mine mine baby earth show heart worth come turn could shine cause love mine mine love mine nothing world belong love mine mine nothing world mine free love mine mine mine,0.5910973084886129,0.9374368665610922,0.4715019802514253
Carried Away,Passion Pit,0.48750000000000004,0.41764705882352937,0.7764705882352941,0.8210526315789473,0.020202020202020204,0.8842105263157894,0.8400000000000001,8B,indie,indie pop,since heart golden get sense hold tempt make ugly scene proper money copper rip brownstone street listen friend quote friend worth note yes please ever note friend say cold heart act old part let perform favorite little scene oh oh oh get carry away carry away hope pray cause sorry sorry sorry thing say always let get head oh european feel high education make sense justify thesis certain need tell point defense listen really know think want think fake let agree need talk money let keep pretend friend oh oh oh get carry away carry away hope pray cause sorry sorry sorry thing say always let get head get carry away carry away hope pray cause sorry sorry sorry thing say always let get head wake morning wake evening wake want cause one really watch well shell something say problem problem get something say get carry away carry away hope pray cause sorry sorry sorry thing say always let get head get carry away carry away hope pray cause sorry sorry sorry thing say always let get head,0.6428571428571429,0.1421338109037403,0.5070687704432801
Patience,Take That,0.6625000000000001,0.7470588235294117,0.23529411764705882,0.7684210526315789,0.14141414141414144,0.35789473684210527,0.88,6B,pop,pop,take comeback single beautiful world top chart many country good british single award 2007 brit award little patience still hurt love lose feel frustration minute pain stop hold close inside arm tonight hard emotion cause need time heart numb feeling still heal try little patience really wanna start know wanna salvation one always depend ill try strong believe try move complicated understand cause need time heart numb feeling still heal try little patience yeah little patience yeah cause scar run deep hard believe little patience little patience oh cause need time heart numb feeling still heal try little patience little patience heart numb feeling still heal try little patience,0.7494824016563149,0.37605071654517747,0.8035365475896379
Africa,TOTO,0.8625,0.2588235294117647,0.6588235294117647,0.3368421052631579,0.26262626262626265,0.7368421052631579,0.32000000000000006,11B,rock,rock 80s,hear drum echoin tonight hear whisper quiet conversation comin 1230 flight moonlit wing reflect star guide towards salvation stop old man along way hopin find old forget word ancient melody turn say hurry boy waitin go take lot drag away nothin hundred man could ever bless rain africa go take time thing never ooh ooh wild dog cry night grow restless longing solitary company know must right sure kilimanjaro rise like olympu serengeti seek cure deep inside frightened thing become go take lot drag away nothin hundred man could ever bless rain africa go take time thing never ooh ooh hurry boy wait go take lot drag away nothin hundred man could ever bless rain africa bless rain africa bless rain bless rain africa bless rain bless rain africa bless rain africa go take time go take time thing never ooh ooh,0.3830227743271222,0.5124707431905382,0.33898831720885325
Razor Boy,Steely Dan,0.3125,0.4294117647058824,0.611764705882353,0.39999999999999997,0.8080808080808082,0.5368421052631579,0.52,10B,rock,rock 70s,hear singe song past see tear know know may last many year gamble give anything well half many friend must begin make laugh still song sing razor boy come take fancy thing away still singe cold windy day know coming close hand feel alright guess woman cage stand kind night guess woman cage play thing lose think tomorrow come lay refuse still song sing razor boy come take fancy thing away still singe cold windy day guess woman cage play thing lose think tomorrow come lay refuse still song sing razor boy come take fancy thing away still singe cold windy day,0.4937888198757765,0.8989331499509895,0.5187259013000389
Headless Horseman,The Microphones,0.3375,0.30000000000000004,0.5764705882352941,0.12631578947368421,0.9696969696969697,0.04210526315789473,0.28,8B,folk,folk,get hit hard ground swing ill duck wish good luck deserve ill return trip hell headless horseman cause oh loss go back get stuff tangle tough stand stare walk aimlessly around flaming pumpkin head oh loss soft hand replace claw turn stray dog mighty human man oh loss oh loss miss close friend cling rock wind precious thing lose,0.7380952380952381,0.9847319278346618,0.3846820338873307
