Song,Artist,Genre Tags,Tag Source,lyrics
Loose Lips,Kimya Dawson,"juno, indie, Soundtrack, female vocalists, acoustic",track,"Loose lips might sink ships but loose kisses take trips
To San Francisco, double Dutch disco
Tech TV hottie, do it for Scotty
Do it for the living and do it for the dead
Do it for the monsters under your bed
Do it for the teenagers and do it for your mom
Broken hearts hurt but they make us strong and

We won't stop until somebody calls the cops
And even then we'll start again and just pretend that
Nothing ever happened
We won't stop until somebody calls the cops
And even then we'll start again and just pretend that
Nothing ever happened

We're just dancing, we're just hugging
Singing, screaming, kissing, tugging
On the sleeve of how it used to be
How's it gonna be?
I'll drop kick Russell Stover, move into the starting over house
Know Matt Rouse and Jest are watching me achieve my dreams
And we'll pray, all damn day, every day
That all this shit our President has got us in will go away
While we strive to figure out a way we can survive
These trying times without losing our minds

So if you wanna burn yourself
Remember that I love you
If you wanna cut yourself
Remember that I love you
If you wanna kill yourself
Remember that I love you
Call me up before you're dead, we can make some plans instead
Send me an IM, I'll be your friend

Shysters live from scheme to scheme, but my fourth quarter pipe dreams
Are seeming more and more worth fighting for
So I'll curate some situations, make my job a big vacation
And I'll say fuck Bush and fuck this war
My war paint is Sharpie ink and I'll show you how much my shit stinks
And ask you what you think because your thoughts and words are powerful
They think we're disposable, well both my thumbs opposable
Spelled out on a double word and triple letter score and

We won't stop until somebody calls the cops
And even then we'll start again and just pretend that
Nothing ever happened
We won't stop until somebody calls the cops
And even then we'll start again and just pretend that
Nothing ever happened
We won't stop until somebody calls the cops
And even then we'll start again and just pretend that
Nothing ever happened
We won't stop until somebody calls the cops
And even then we'll start again and just pretend that
Nothing ever happened

We're just dancing, we're just hugging
Singing, screaming, kissing, tugging
On the sleeve of how it used to be"
Killing Me Softly With His Song,"Fugees,Ms. Lauryn Hill","soul, rnb, Hip-Hop, 90s, hip hop",track,"Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song
(Ah!) Yooo! (Yeah! Yeah!)
♪
This is Wyclef, Refugee Camp (L-Boogie up in here)
Prazrel, (Prazrel up in here! Ha! Ha!)
Lil' Base sits up there on the base (Refugees up in here)
While I'm on this... I got my girl L (Ah! Ah!)
One time, one time, (one time)
Ayo, L, you know you got the lyrics
I heard he sang a good song
I heard he had a style
And so I came to see him
And listen for a while
And there he was
This young boy, stranger to my eyes
Strumming my pain with his fingers
(One time, one time)
Singing my life with his words
(Two times, two times)
Killing me softly with this song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song
I felt all flushed with fever
Embarrassed by the crowd
I felt he found my letters
Then read each one out loud
I prayed that he would finish
But he just kept right on
Strumming my pain with his fingers
(One time, one time)
Singing my life with his words
(Two times, two times)
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song
Yo, L-Boy, take it to the bridge
Strumming my pain with his fingers
Yes he was singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song
Strumming my pain yeah
♪
Singing my life with his words
♪
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words"
I'm Every Woman,Chaka Khan,"soul, Disco, funk, 70s, female vocalists",track,"I'm every woman, it's all in me
Anything you want done, baby, I'll do it naturally (Mh-mh-mh)
I'm every woman, it's all in me
I can read your thoughts right now, every one from A to Z
Whoah whoah whoah (Whoah whoah)
Whoah whoah whoah

I can cast a spell
With secrets you can't tell
Mix a special brew
Put fire inside of you
But anytime you feel danger or fear
Instantly I will appear
'Cause...

I'm every woman, it's all in me
Anything you want done, baby, I'll do it naturally
Whoah whoah whoah
Whoah whoah whoah

I can sense your needs
Like rain on to the seeds
I can make a rhyme
Of confusion in your mind
And when it comes down to some good old fashioned love
That's what I've got plenty of
'Cause...

I'm every woman, it's all in me
Anything you want done, baby, I'll do it naturally
I'm every woman, it's all in me
I can read your thoughts right now, every one from A to Z
Whoah whoah whoah (Whoah whoah)
Whoah whoah whoah

I ain't braggin' cause I'm the one
You just ask me, uh, and it shall be done
And don't bother to compare
'Cause I've got it (I've got it)
Whoah whoah whoah (Whoah whoah)
Whoah whoah whoah
Aah, aah, aah, aah

I'm every woman, I'm every woman
(Tell 'em all about it, child)
I'm every woman, I'm every woman
(Wanna really tell 'em all... about it)
I'm every woman, I'm every woman
(Want 'em to know, want 'em  to know that...)
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman
I'm every woman, I'm every woman"
Hollaback Girl,Gwen Stefani,"pop, dance, gwen stefani, female vocalists, rock",track,"Uh-huh, this my shit
All the girls, stomp your feet like this

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl

Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit

I heard that you were talking shit
And you didn't think that I would hear it
People hear you talking like that
Getting everybody fired up
So I'm ready to attack, gonna lead the pack
Gonna get a touchdown, gonna take you out
That's right, put your pom-poms down
Getting everybody fired up

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl

Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit

So that's right, dude, meet me at the bleachers
No principals, no student-teachers
Both of us wanna be the winner
But there can only be one
So I'm gonna fight, gonna give it my all
Gonna make you fall, gonna sock it to you
That's right, I'm the last one standing
And another one bites the dust

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl

Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Let me hear you say, this shit is bananas
B-A-N-A-N-A-S
This shit is bananas
B-A-N-A-N-A-S
Again, the shit is bananas
B-A-N-A-N-A-S
This shit is bananas
B-A-N-A-N-A-S

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl

Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit"
All For You,Janet Jackson,"pop, dance, janet jackson, rnb, female vocalists",track,"All my girls at the party, look at that body
Shakin' that thing like you never did see
Got a nice package alright
Guess I'm gonna have to ride it tonight
All my girls at the party, look at that body
Shakin' that thing like you never did see
Got a nice package alright
Edit (Four, three, two, one)
Chicka-ah

It's all for you, if you really want it
It's all for you, if you say you need it
It's all for you, if you gotta have it
It's all for you if you make a move
It's all for you

I see you starin' out the corner of my eye
You seem uneasy, want to approach me, throw me a line
But then somethin' inside you grabs you, says, ""Who am I?""
I know exactly 'cause it happens with all the guys

So you, so what'cha gonna do?
Come on and talk to me
Promise you, won't even have an attitude
I'll let you sit right next to me
Don't join the list with these other fools
That ain't the way to be
Yes, it's cool, yes, I'm in the mood
Intimidations got that mind, yeah

It's all for you, if you really want it
It's all for you, if you say you need it
It's all for you, if you gotta have it
It's all for you if you make a move
It's all for you, tell me I'm the only one
It's all for you, soon we'll be havin' fun
It's all for you, come over here and get some
It's all for you if you make a move
It's all for you

Can't be afraid or keep me waitin' for too long
Before you know it, I'll be outta here, yeah, I'll be gone
Don't try to be all clever, cute, or even sly
Don't have to work that hard, just be yourself
And let that be your guide

So you, so what'cha gonna do?
So come and talk to me, boy
Promise you, won't even have an attitude
I'll even let you sit right next to me
Don't join the list with these other fools
That ain't the way to be, boy (That ain't the way to be, no)
Yes, it's cool, yes, I'm in the mood
Intimidation every time

It's all for you, if you really want it
It's all for you, if you say you need it (Say you need, babe)
It's all for you, if you gotta have it (Yeah, yeah)
It's all for you if you make a move
It's all for you, tell me you're the only one
It's all for you, soon we'll be havin' fun
It's all for you, come over here and get some (Come over here, baby, get'cha some)
It's all for you if you make a move
It's all for you (Chicka-ah)

All my girls at the party, look at that body
Shakin' that thing like you never did see
Got a nice package alright
Guess I'm gonna have to ride it tonight
All my girls at the party, look at that body
Shakin' that thing like you never did see
Got a nice package alright
Guess I'm gonna have to ride it tonight

It's all for you (Chicka-ah), if you really want it
It's all for you, if you say you need it
It's all for you, if you gotta have it
It's all for you if you make a move
It's all for you

All my girls at the party, look at that body
Shakin' that thing like you never did see (It's all for you)
Got a nice package alright
Guess I'm gonna have to ride it tonight (It's all for you)
All my girls at the party, look at that body
Shakin' that thing like you never did see (It's all for you)
Got a nice package alright (If you make a move)
Guess I'm gonna have to ride it tonight (It's all for you, baby)

It's all for you, tell me you're the only one
And soon we'll be havin' fun (Oh, yeah)
Come over here and get some
(Soon we'll be havin' fun) Soon you'll be havin' fun
(Soon we'll be havin' fun) Soon you'll be havin' fun
(Soon we'll be havin' fun) Soon you'll be havin' fun
(Soon we'll be havin' fun) Soon you'll be havin' fun
(Soon we'll be havin' fun) Come over here and get'cha some
(Soon we'll be havin' fun) Soon you'll be havin' fun
(Soon we'll be havin' fun) Soon, you'll be fine
(Soon we'll be havin' fun) Soon you'll be havin' fun
Soon we'll be havin' fun (Chicka-ah)
Guess I'm gonna have to ride—
Guess I'm gonna have to ride it tonight
Guess I'm gonna have to ride—
Guess I'm gonna have to ride—
Guess I'm gonna have to ride it tonight
Guess I'm gonna have to ride—
Chicka-ah"
Love Will Tear Us Apart - 2020 Remaster,Joy Division,"post-punk, new wave, 80s, alternative, Joy Division",track,
Flamingo,Kero Kero Bonito,"japanese, synth, synthpop, furamingo, british",track,"How many shrimps do you have to eat
Before you make your skin turn pink?
Eat too much and you'll get sick
Shrimps are pretty rich


なんであいつらはピンク？
動物園で思ったピンク
食べ物でそうなんだ
実は私はたらこが大好き
プラス海老カニ食べよう
ピンク色になるの？
だから皆違う色
人間って勘違いしてるよね

Black, white, green or blue
Show off your natural hue
Flamingo, oh, oh, oh
If you're multicolored, that's cool too
You don't need to change
It's boring being the same
Flamingo, oh, oh, oh
You're pretty either way

鶴の嘴下に向かって曲げたらフラミンゴ
意味不明だけど 面白いでしょ
虹色に染まった世界
今日も地球のどこかで
海老をむしゃむしゃ食べて
フラミンゴはピンク色に
染まっていくぜ one, two, three

Black, white, green or blue
Show off your natural hue
Flamingo, oh, oh, oh
If you're multicolored, that's cool too
You don't need to change
It's boring being the same
Flamingo, oh, oh, oh
You're pretty either way
Flamingo

How many shrimps do you have to eat
Before you make your skin turn pink?
Eat too much and you'll get sick
Shrimps are pretty rich

Green or blue
Show off your natural hue
Flamingo, oh, oh, oh
If you're multicolored, that's cool too
You don't need to change
It's boring being the same
Flamingo, oh, oh, oh
You're pretty either way

Flamingo, oh, oh, oh
Pink
Flamingo, oh, oh, oh"
Born To Die,Lana Del Rey,"indie, pop, love at first listen, indie pop, female vocalists",track,"Why? (Got that?)
Who? Me? (Louder)
Why? (Got that?)

Feet don't fail me now, take me to the finish line
Oh, my heart, it breaks every step that I take
But I'm hoping that the gates, they'll tell me that you're mine
Walking through the city streets, is it by mistake or design?
I feel so alone on a Friday night
Can you make it feel like home if I tell you you're mine?
It's like I told you, honey (Louder)

Don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (Louder, alright)
Choose your last words, this is the last time
'Cause you and I, we were born to die

Lost, but now I am found
I can see that, once, I was blind
I was so confused as a little child
Tried to take what I could get, scared that I couldn't find
All the answers, honey (Louder)

Don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (Louder, alright)
Choose your last words, this is the last time
'Cause you and I, we were born to die

(We were born to die, we were born to die)
We were born to die
(We were born to die, we were born to die, we were born to die)
We were born to die
Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane

So don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (Louder, alright)
Choose your last words, this is the last time
'Cause you and I, we were born to die

(Louder)
(We were born to die, we were born to die)
We were born to die
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Got that?)
(Louder)"
Oh to Be in Love,Kate Bush,"female vocalists, rock, 70s, singer-songwriter, alternative",track,"As the light hits you
As you shift along the floor
I find it hard to place my face
How did I come to be here, anyway?
It's terribly vague, what's gone before

I could have been anyone
You could have been anyone's dream
Why did you have to choose our moment?
Why did you have to make me feel that?
Why did you make it so unreal?

Oh, to be in love
And never get out again
Oh, to be in love
And never get out again
Oh, to be in love
And never get out again

Oh, to be in love
And never get out again
Oh, to be in love
And never get out again
Oh, to be in love
And never get out again

All the colours look brighter now
Everything they say seems to sound new
Slipping into tomorrow too quick
Yesterday, always too good to forget
Stop the swing of the pendulum, let us through

Oh, to be in love
And never get out again
Oh, to be in love
And never get out again
Oh, to be in love
And never get out again"
Suzanne,Hope Sandoval & The Warm Inventions,"female vocalists, dream pop, indie, Mellow, Dreamy",track,"Suzanne is waiting at your doorway
But all she does is waste your time
And she looks just like my sister
But she feels just like my man

And all the times I mean to tell her
The cats in here are overflown
She pulls aside a four-leaf clover
And makes me feel right on my own

Suzanne, Suzanne
Suzanne, Suzanne

Suzanne is waiting at your doorway
But all she does is waste your time
And she looks just like my sister
But she feels just like my man

Suzanne, Suzanne
Suzanne, Suzanne

Suzanne, Suzanne
Suzanne, Suzanne
Suzanne, Suzanne"
Wild World - Remastered 2020,Yusuf / Cat Stevens,"folk, folk rock, rock",track,
New Year’s Day,Taylor Swift,"Ballad, pop, acoustic, piano, new year",track,"There's glitter on the floor after the party
Girls carryin’ their shoes down in the lobby
Candle wax and Polaroids on the hardwood floor
You and me from the night before, but

Don't read the last page
But I stay when you're lost and I’m scared and you're turnin' away
I want your midnights
But I'll be cleanin' up bottles with you on New Year's Day

You squeeze my hand three times in the back of the taxi
I can tell that it's gonna be a long road
I'll be there if you’re the toast of the town, babe
Or if you strike out and you’re crawlin' home

Don’t read the last page
But I stay when it's hard or it's wrong or we're makin’ mistakes
I want your midnights
But I'll be cleanin' up bottles with you on New Year's Day

Hold on to the memories, they will hold on to you
Hold on to the memories, they will hold on to you
Hold on to the memories, they will hold on to you
And I will hold on to you

Please, don't ever become a stranger
Whose laugh I could recognize anywhere
Please, don't ever become a stranger
Whose laugh I could recognize anywhere

There's glitter on the floor after the party
Girls carryin' their shoes down in the lobby
Candle wax and Polaroids on the hardwood floor
You and me forevermore

Don't read the last page
But I stay when it's hard or it's wrong or we're makin' mistakes
I want your midnights
But I'll be cleanin' up bottles with you on New Year's Day

Hold on to the memories, they will hold on to you
Hold on to the memories, they will hold on to you
Hold on to the memories, they will hold on to you
And I will hold on to you (Hold on)

Please, don't ever become a stranger
(To the memories, they will hold on to you)
Whose laugh I could recognize anywhere
(Hold on to the memories, they will hold on to you)
Please, don't ever become a stranger
(Hold on to the memories, they will hold on to you)
Whose laugh I could recognize anywhere
(And I will hold on to you)"
The (After) Life Of The Party,Fall Out Boy,"rock, emo, alternative, Fall Out Boy, pop rock",track,"I'm a stitch away from making it
And a scar away from falling apart, apart
Blood cells pixelate and eyes dilate
And the full moon pills got me out on the street at night

Cut it loose, watch you work the room
Cut it loose, watch you work the room
Cut it loose, watch you work the room
Cut it loose, watch you work the room

Oh, put love on hold, young Hollywood
Is on the other line
Her nose runs ruby red, Death's in a double bed
Singing songs that could only catch the ear of the desperate

Cut it loose, watch you work the room
Cut it loose, watch you work the room
Cut it loose, watch you work the room
Cut it loose...

I'm a stitch away from making it
And a scar away from falling apart, apart
Blood cells pixelate and eyes dilate
Kiss away young thrills and kills on the mouths of all my friends

Cut it loose, watch you work the room
Loose, watch you work the room
Cut it loose, watch you work the room
Ohhhh, whoa

I'm a stitch away, I'm a stitch away..."
Me and Michael,MGMT,"synthpop, new romantic, indie, new wave, rock",track,"Woah…

Not everyone can be like me and Michael
The only problem is forgetting which side you're on
So you think, the burning light will reappear on summer nights
Like all the rest, but they can't find out

Woah…

In every scene, it's me and Michael
Imaginary bombs, raining down from the clouds
So it seems, the danger signs will never let the feelings die
When all the best and brightest have gone

Me and Michael (Woah…)
Solid as they come (Woah…)
Me and Michael (Woah…)
It's not a question now (Woah…)
Me and Michael (Woah…)
Solid as they come (Woah…)
Me and Michael (Woah…)
It's not a question now (Woah…)
Me and Michael (Woah…)

Woah…
Woah…

Binary stars sink, like the setting sun
Too happy with ourselves to notice when the change had come
So you think, the losing side would never break dividing lines
But sanctity wasn't in doubt

Me and Michael (Woah…)
Solid as they come (Woah…)
Me and Michael (Woah…)
It's not a question now (Woah…)
It's me and Michael (Woah…)
Solid as they come (Woah…)
Me and Michael (Woah…)
It's not a question now (Woah…)
Me and Michael (Woah, woah…)

(Woah, woah…)
(Woah, woah…)
(Woah, woah…)
(Woah, woah…)
(Woah, woah…)
(Woah, woah…)"
Closer to Fine,Indigo Girls,"folk, female vocalists, acoustic, singer-songwriter, indigo girls",track,"I'm tryin' to tell you somethin' 'bout my life
Maybe give me insight between black and white
And the best thing you ever done for me
Is to help me take my life less seriously
It's only life after all, yeah

Well, darkness has a hunger that's insatiable
And lightness has a call that's hard to hear
And I wrap my fear around me like a blanket
I sailed my ship of safety 'til I sank it
I'm crawling on your shores

And I went to the doctor, I went to the mountains
I looked to the children, I drank from the fountains
There's more than one answer to these questions
Pointing me in a crooked line
And the less I seek my source for some definitive
(The less I seek my source)
Closer I am to fine, yeah
Closer I am to fine, yeah

And I went to see the doctor of philosophy
With a poster of Rasputin and a beard down to his knee
He never did marry or see a B-grade movie
He graded my performance, he said he could see through me
I spent four years prostrate to the higher mind
Got my paper and I was free

And I went to the doctor (Woo!), I went to the mountains
I looked to the children, I drank from the fountains
There's more than one answer to these questions
Pointing me in a crooked line
And the less I seek my source for some definitive
(The less I seek my source)
Closer I am to fine, yeah
Closer I am to fine, yeah

I stopped by the bar at 3 a.m. 
To seek solace in a bottle, or possibly a friend
And I woke up with a headache like my head against a board
Twice as cloudy as I'd been the night before
When I went in seeking clarity

I went to the doctor, I went to the mountains
I looked to the children, I drank from the fountain
And we go to the doctor, we go to the mountains
And we look to the children, and we drink from the fountain
Yeah, we go to the Bible, and we go through the workout
And we read up on revival, and we stand up for the lookout
There's more than one answer to these questions
Pointing me in a crooked line
And the less I seek my source for some definitive
(The less I seek my source)
Closer I am to fine
Closer I am to fine
Closer I am to fine, yeah"
Dreams,The Cranberries,"rock, 90s, alternative, female vocalists, irish",track,"Oh, my life
Is changin' every day
In every possible way
And oh, my dreams
It's never quite as it seems
Never quite as it seems

I know I've felt like this before
But now I'm feelin' it even more
Because it came from you
Then I open up and see
The person fallin' here is me
A different way to be

Ah
La-ah-ya-ah
La-ya-ya
La-ah-ya-ah
Ya-ah, ah, ah

I want more
Impossible to ignore
Impossible to ignore
And they'll come true
Impossible not to do
Impossible not to do

And now I tell you openly
You have my heart, so don't hurt me
You're what I couldn't find
Totally amazing mind
So understanding and so kind
You're everything to me

Oh, my life
Is changin' every day
In every possible way
And oh, my dreams
It's never quite as it seems
'Cause you're a dream to me, dream to me

Ah, la-a-la-ah, la la la
La-a-la-ah, la-ah ah ah
Ah, la-a-la-ah, la la la
La-a-la-ah, la-ah ah ah"
Punisher,Phoebe Bridgers,"rock, title track, indie, folk, sad",track,"When the speed kicks in
I go to the store for nothing
And walk right by
The house where you lived with Snow White
I wonder if she ever thought
The storybook tiles on the roof were too much
But from the window, it's not a bad show
If your favorite thing's Dianetics or stucco

The drugstores are open all night
The only real reason I moved to the east side
I love a good place to hide in plain sight

What if I told you
I feel like I know you?
But we never met

And here, everyone knows you're the way to my heart
Hear so many stories of you at the bar
Most times, alone, and some, looking your worst
But never not sweet to the trust funds and punishers

Man, I wish that I could say the same
I swear I'm not angry, that's just my face
A copycat killer with a chemical cut
Either I'm careless or I wanna get caught
Who I'm not

What if I told you
I feel like I know you?
But we never met
It's for the best

I can't open my mouth and forget how to talk
'Cause even if I could
Wouldn't know where to start
Wouldn't know when to stop"
Galileo,Indigo Girls,"female vocalists, folk, acoustic, singer-songwriter, rock",track,"Galileo's head was on the block
The crime was looking up the truth
And as the bombshells of my daily fears explode
I try to trace them to my youth

And then you had to bring up reincarnation
Over a couple of beers the other night
And now I'm serving time for mistakes
Made by another in another lifetime

How long 'til my soul gets it right?
Can any human being ever reach that kind of light?
I call on the resting soul of Galileo
King of night vision, king of insight

And then I think about my fear of motion
Which I never could explain
Some other fool across the ocean years ago
Must have crashed his little airplane

How long 'til my soul gets it right?
Can any human being ever reach that kind of light?
I call on the resting soul of Galileo
King of night vision, king of insight

I'm not making a joke, you know me
I take everything so seriously
If we wait for the time 'til all souls get it right
Then at least I know there'll be no nuclear annihilation
In my lifetime, I'm still not right

I offer thanks to those before me
That's all I've got to say
'Cause maybe you squandered big bucks in your lifetime
Now I have to pay

But then again it feels like some sort of inspiration
To let the next life off the hook
But she'll say, ""Look what I had to overcome from my last life
I think I'll write a book""

How long 'til my soul gets it right?
Can any human being ever reach the highest light?
Except for Galileo—God rest his soul
(Except for the resting soul of Galileo)
King of night vision, king of insight

How long
Until my soul gets it right?
'Til we reach the highest light?
How long
Until my soul gets it right?
'Til we reach the highest light?
How long?"
Tonya Harding (In Eb major),Sufjan Stevens,"fip, name check",track,"Tonya Harding, my star
Well this world is a cold one
But it takes one to know one
And God only knows what you are
Just some Portland white trash
You confronted your sorrow
Like there was no tomorrow
While the rest of the world only laughed
Triple axel on high
A delightful disaster
You jumped farther and faster
You were always so full of surprises
Are your laces untied?
What’s the frown on your face for?
And just what are the skates for now?
Tell me which is your good side?
Are you lonely at night?
Do you miss all the glory
Or the mythical story
Of the Olympian life?
Yamaguchi in red
She had high rise and roses
And red-carpet poses
And her outfit was splendid

Nancy Kerrigan’s charm
Well she took quite a beating
So you’re not above cheating
Can you blame her for crying?
Tonya, you were the brightest
Yeah you rose from the ashes
And survived all the crashes
Wiping the blood from your white tights
Has the world had its fun?
Yeah they’ll make such a hassle
And they’ll build you a castle
Then destroy it when they’re done
Tonya Harding, my friend
Well this world is a bitch, girl
Don’t end up in a ditch, girl
I’ll be watching you close to the end
So fight on as you are
My American princess
May God bless you with incense
You’re my shining American star
You’re my shining American star
You’re my shining American star"
"Caroline, No",The Beach Boys,"pop, 60s, rock, baroque pop, 1966",track,"Where did your long hair go?
Where is the girl I used to know?
How could you lose that happy glow?
Oh, Caroline, no

Who took that look away?
I remember how you used to say
You'd never change, but that's not true

Oh, Caroline, you
Break my heart
I want to go and cry
It's so sad to watch a sweet thing die
Oh, Caroline, why?

Could I ever find in you again
The things that made me love you so much then?
Could we ever bring 'em back once they have gone?
Oh, Caroline, no"
Backstreets,Bruce Springsteen,"rock, classic rock, heartland rock, 70s, Bruce Springsteen",track,"Bruce and his ambiguously-gendered friend Terry experience what happens to the best-intentioned childhood promises to stay “forever friends”.
One soft, infested summer, me and Terry became friends
Trying in vain to breathe the fire we was born in
Catching rides to the outskirts, tying faith between our teeth
Sleeping in that old abandoned beach house, getting wasted in the heat

And hiding on the backstreets
Hiding on the backstreets
With a love so hard and filled with defeat
Running for our lives at night on them backstreets
Slow dancing in the dark on the beach at Stockton's Wing
Where desperate lovers park, we sat with the last of the Duke Street Kings
Huddled in our cars, waiting for the bells that ring
In the deep heart of the night, we can let loose of everything

To go running on the backstreets
Running on the backstreets
Terry, you swore we'd live forever
Taking it on them backstreets together

Endless juke joints and Valentino drag
Where dancers scraped the tears up off the streets dressed down in rags
Running into the darkness, some hurt bad, some really dying
At night sometimes it seemed you could hear the whole damn city crying
Blame it on the lies that killed us, blame it on the truth that ran us down
You can blame it all on me, Terry, it don't matter to me now
When the breakdown hit at midnight, there was nothing left to say
But I hated him and I hated you when you went away
Wa oh, wa oh


Laying here in the dark, you're like an angel on my chest
Just another tramp of hearts crying tears of faithlessness
Remember all the movies, Terry, we'd go see
Trying to learn to walk like the heroes we thought we had to be
Well, after all this time, to find we're just like all the rest
Stranded in the park, and forced to confess

To hiding on the backstreets
Hiding on the backstreets
Where we swore forever friends
On the backstreets until the end

Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
It's all right
We'll go hiding on the backstreets tonight
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Hiding on the backstreets
Oh, hey, whoa, oh-oh"
When You Sleep,my bloody valentine,"shoegaze, dream pop, indie, alternative, shoegazer",track,"When I look at you
Oh, but I don't know what's real
Once in a while
And you make me laugh
And I'll sleep tomorrow
And it won't be long
Once in a while
Then you take me down
When you walk away

When you say ""I do""
Oh, but I don't believe in you
I can't forget it, ooh
When you sleep tomorrow
And it won't be long
Once in a while
When you make me smile
And you turn your long blonde hair

When I look at you
Oh, but I don't know what's real
Once in a while
And you make me laugh
And I'll sleep tomorrow
And it won't be long
Once in a while
Then you take me down
When you walk away"
Deacon Blues,Steely Dan,"classic rock, Jazz Rock, 70s, steely dan, rock",track,"This is the day of the expanding man
That shape is my shade
There where I used to stand
It seems like only yesterday
I gazed through the glass
At ramblers, wild gamblers
That's all in the past

You call me a fool
You say it's a crazy scheme
This one's for real
I already bought the dream
So useless to ask me why
Throw a kiss and say goodbye
I'll make it this time
I'm ready to cross that fine line

Learn to work the saxophone
I, I'll play just what I feel
Drink Scotch whiskey all night long
And die behind the wheel
They got a name for the winners in the world
I, I want a name when I lose
They call Alabama the Crimson Tide
Call me Deacon Blues (Deacon Blues)

My back to the wall
A victim of laughing chance
This is for me
The essence of true romance
Sharing the things we know and love
With those of my kind
Libations, sensations
That stagger the mind

I crawl like a viper
Through these suburban streets
Make love to these women
Languid and bittersweet
I'll rise when the sun goes down
Cover every game in town
A world of my own
I'll make it my home sweet home

Learn to work the saxophone
I, I'll play just what I feel
Drink Scotch whiskey all night long
And die behind the wheel
They got a name for the winners in the world
I, I want a name when I lose
They call Alabama the Crimson Tide
Call me Deacon Blues (Deacon Blues)


This is the night of the expanding man
I take one last drag
As I approach the stand
I cried when I wrote this song
Sue me if I play too long
This brother is free
I'll be what I want to be

I'll learn to work the saxophone
I, I'll play just what I feel
Drink Scotch whiskey all night long
And die behind the wheel
They got a name for the winners in the world
I, I want a name when I lose
They call Alabama the Crimson Tide
Call me Deacon Blues (Deacon Blues)"
