Song,Artist,Popularity,BPM,Genres,Parent Genres,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Camelot,Artist_Clean,Song_Clean
Hideaway,Kiesza,0,123,,,04:11,86,61,10,1,18,0,0,-7,G minor,4,6A,Kiesza,Hideaway
Another You,"Armin van Buuren,Mr. Probz",24,128,"trance, progressive trance, progressive house, electronica, edm, ",Electronic,03:12,59,65,1,0,39,0,0,-5,F#/G♭ minor,4,11A,Armin van Buuren,Another You
Save A Little Love,Don Diablo,0,122,"future house, edm",Electronic,03:22,63,91,1,0,33,10,60,-3,C minor,4,5A,Don Diablo,Save A Little Love
On & On,"Cartoon,Daniel Levi",7,174,,,03:27,46,70,28,0,42,0,10,-5,B,4,1B,Cartoon,On & On
Blackout,"Tritonal,Steph Jones",34,142,"edm, progressive house, progressive trance, ",Electronic,03:31,53,74,23,0,18,0,10,-3,G minor,4,6A,Tritonal,Blackout
I Just Can't Deny,Keys N Krates,0,154,edm trap,"Electronic, Hip Hop",04:00,58,95,0,88,51,0,0,-5,C♯/D♭,4,3B,Keys N Krates,I Just Can't Deny
Hands,"Gareth Emery,Alastor,London Thor",37,128,"trance, progressive trance, progressive house, melodic techno",Electronic,03:09,56,67,5,0,31,0,20,-6,G,4,9B,Gareth Emery,Hands
City Lights,Avicii,48,128,edm,Electronic,06:28,80,82,1,8,42,20,30,-6,G minor,4,6A,Avicii,City Lights
Firebird,Galantis,27,128,,,04:08,55,88,0,34,41,0,30,-4,D#/E♭,4,5B,Galantis,Firebird
Save Me - Radio Edit,"TiMO ODV,Sarah Jackson",0,122,,,03:33,73,70,32,0,33,0,10,-7,A#/B♭ minor,4,3A,TiMO ODV,Save Me
Tim,ARTY,41,128,"progressive house, trance, big room, progressive trance",Electronic,03:46,25,91,1,85,32,0,10,-5,E,4,12B,ARTY,Tim
Heads Will Roll - A-Trak Radio Edit,"Yeah Yeah Yeahs,A-Trak",2,132,"indie rock, disco house","Electronic, Rock",03:23,69,80,2,7,86,0,30,-3,G#/A♭ minor,4,1A,Yeah Yeah Yeahs,Heads Will Roll
Rumors - Radio Edit,Pep & Rash,0,125,future house,Electronic,02:51,78,81,0,1,41,0,20,-4,F minor,4,4A,Pep & Rash,Rumors
Swallow My Pride (feat. Molly Moore),"Boehm,Molly Moore",0,100,"tropical house, ",Electronic,03:52,67,72,5,2,37,0,0,-6,E minor,4,9A,Boehm,Swallow My Pride (feat. Molly Moore)
90s By Nature,"Showtek,MC Ambush",0,128,"hardstyle, big room, electronica, edm",Electronic,02:49,69,86,23,1,45,0,20,-5,A,4,11B,Showtek,90s By Nature
Stay For It,"RL Grime,Miguel",1,144,"edm trap, future bass, r&b","Electronic, Hip Hop, R&B",04:18,36,85,1,0,17,0,0,-4,F#/G♭ minor,4,11A,RL Grime,Stay For It
This Is Who We Are,"Dash Berlin,Syzz",28,124,"trance, big room, electronica, ",Electronic,03:06,51,70,0,0,27,0,60,-3,F minor,4,4A,Dash Berlin,This Is Who We Are
I Want You To Know,"Zedd,Selena Gomez",1,130,"edm, pop","Electronic, Pop",03:59,58,85,1,0,37,0,10,-3,A minor,4,8A,Zedd,I Want You To Know
Whole Heart,"Gryffin,Bipolar Sunshine",0,164,"edm, melodic bass, future bass, ",Electronic,03:45,49,65,4,0,18,0,10,-7,A,4,11B,Gryffin,Whole Heart
Live for the Night,Krewella,51,128,"edm, dubstep",Electronic,03:26,50,84,1,0,53,10,10,-2,F#/G♭,4,2B,Krewella,Live for the Night
Tokyo By Night - Axwell Radio Edit,"Hook N Sling,Karin Park,Axwell",40,128,"dark ambient, melodic techno, edm","Electronic, New Age",03:08,53,84,8,0,29,0,40,-3,G minor,4,6A,Hook N Sling,Tokyo By Night
Goin' In - Skrillex  Goin' Down  Mix,Birdy Nam Nam,0,140,"french house, dubstep, electro",Electronic,03:37,77,88,3,0,61,10,10,-7,D,4,10B,Birdy Nam Nam,Goin' In
We'll Be Ok,"AFROJACK,Wrabel",30,128,"edm, big room, ",Electronic,05:19,61,93,26,0,32,0,10,-4,G#/A♭ minor,4,1A,AFROJACK,We'll Be Ok
Stronger,"Gareth Emery,Louis Vivet",26,79,"trance, progressive trance, progressive house, ",Electronic,02:56,55,74,8,0,33,0,10,-6,D,4,10B,Gareth Emery,Stronger
Immortal - Original Mix,"Fedde Le Grand,Erene",0,100,mandopop,Pop,03:25,63,85,9,0,30,0,10,-3,A,4,11B,Fedde Le Grand,Immortal
Cool,"Alesso,Roy English",62,128,"edm, ",Electronic,03:41,54,85,4,0,50,0,40,-2,F#/G♭ minor,4,11A,Alesso,Cool
Young Again (feat. Chris Jones),"Hardwell,Chris Jones",26,129,"big room, edm, progressive house, electronica, symphonic metal, trance, symphonic rock, gothic metal","Electronic, Metal, Rock",03:39,56,78,4,0,29,0,70,-5,G,4,9B,Hardwell,Young Again (feat. Chris Jones)
Reckless,"Gareth Emery,Wayward Daughter",27,128,"trance, progressive trance, progressive house",Electronic,03:22,62,81,29,0,35,0,20,-5,F,4,7B,Gareth Emery,Reckless
Find You,"Zedd,Matthew Koma,Miriam Bryant",0,128,"edm, ",Electronic,03:24,53,79,3,0,38,0,10,-5,D#/E♭,4,5B,Zedd,Find You
Next Summer,"WHYLO,Swedish Red Elephant",0,108,deep house,Electronic,03:38,65,86,9,0,23,0,20,-5,A#/B♭,4,6B,WHYLO,Next Summer
Strangers,"Seven Lions,Myon,Shane 54,Tove Lo",48,130,"melodic bass, future bass, edm, chillstep, dubstep, progressive trance, trance, ",Electronic,03:24,58,71,1,0,46,0,10,-7,C minor,4,5A,Seven Lions,Strangers
Stay (feat. Maty Noyes),"Kygo,Maty Noyes",65,103,"tropical house, ",Electronic,03:59,65,74,4,0,38,0,10,-8,G#/A♭,4,4B,Kygo,Stay (feat. Maty Noyes)
Blessed (Avicii Edit),Tom Hangs Featuring Shermanology,7,126,,,06:47,76,88,4,59,62,0,0,-7,G#/A♭ minor,4,1A,Tom Hangs Featuring Shermanology,Blessed (Avicii Edit)
Reload - Vocal Version / Radio Edit,"Sebastian Ingrosso,Tommy Trash,John Martin",0,128,"edm, ",Electronic,03:41,49,74,8,0,40,0,0,-5,E minor,4,9A,Sebastian Ingrosso,Reload
Split (Only U),"Tiësto,The Chainsmokers",2,128,"edm, trance, big room, house, dance, ",Electronic,04:16,63,93,5,69,35,10,0,-3,C♯/D♭,4,3B,Tiësto,Split (Only U)
Open (feat. Moksi & Jonna Fraser),"Yellow Claw,Jonna Fraser,Moksi",0,128,"edm, edm trap, bass house, future house, g-house","Electronic, Hip Hop",03:30,52,86,13,2,26,10,10,-4,A#/B♭ minor,4,3A,Yellow Claw,Open (feat. Moksi & Jonna Fraser)
Fractures (feat. Nevve),"ILLENIUM,Nevve",1,160,"melodic bass, future bass, edm",Electronic,04:05,41,71,37,0,27,0,10,-3,E,4,12B,ILLENIUM,Fractures (feat. Nevve)
Turn up the Speakers - Radio Edit,"AFROJACK,Martin Garrix",0,128,"edm, big room, electronica, progressive house",Electronic,03:03,69,90,9,94,34,0,40,-5,A#/B♭,4,6B,AFROJACK,Turn up the Speakers
We'll Be Coming Back (feat. Example),"Calvin Harris,Example",64,128,"edm, ",Electronic,03:54,60,95,0,0,57,0,60,-4,G,4,9B,Calvin Harris,We'll Be Coming Back (feat. Example)
I'll Be Pushin' On,Zac Samuel,33,127,deep house,Electronic,03:30,65,86,8,1,35,0,10,-5,A minor,4,8A,Zac Samuel,I'll Be Pushin' On
"Recess (with Kill The Noise, Fatman Scoop, and Michael Angelakos)","Skrillex,Fatman Scoop,Kill The Noise,Michael Angelakos",58,104,"dubstep, edm, electro, electronic, melodic bass, ",Electronic,03:57,66,93,2,0,13,10,50,-3,F minor,4,4A,Skrillex,"Recess (with Kill The Noise, Fatman Scoop, and Michael Angelakos)"
Get Your Wish,Porter Robinson,42,95,"edm, electronic",Electronic,03:37,54,68,10,0,44,0,10,-6,B,4,1B,Porter Robinson,Get Your Wish
Reason - Radio Edit,"NERVO,Hook N Sling",0,128,"house, ",Electronic,03:33,54,88,12,0,44,0,70,-2,G#/A♭ minor,4,1A,NERVO,Reason
The Only Way Is Up,"Martin Garrix,Tiësto",59,128,"edm, electronica, progressive house, trance, big room, house, dance",Electronic,04:18,60,74,0,92,17,0,0,-8,C♯/D♭ minor,4,12A,Martin Garrix,The Only Way Is Up
Chemicals,"Tiësto,Don Diablo,Thomas Troelsen",33,126,"edm, trance, big room, house, dance, future house, ",Electronic,03:42,53,96,3,0,9,0,30,-3,A#/B♭ minor,4,3A,Tiësto,Chemicals
Loca People - Original Mix,Sak Noel,38,128,moombahton,"Electronic, Latin",05:40,87,74,0,3,68,0,0,-3,B minor,4,10A,Sak Noel,Loca People
Bright Lights - Radio Edit,Syn Cole,0,128,"tropical house, edm",Electronic,03:22,59,95,0,2,43,0,10,-3,A minor,4,8A,Syn Cole,Bright Lights
It's You - Radio Edit,Syn Cole,0,128,"tropical house, edm",Electronic,03:31,65,83,11,0,49,0,10,-4,A#/B♭,4,6B,Syn Cole,It's You
Polygon Dust,"Porter Robinson,Lemaitre",45,95,"edm, electronic, norwegian pop, nu disco","Electronic, Pop",03:29,48,76,3,0,41,0,0,-3,C minor,4,5A,Porter Robinson,Polygon Dust
Just For A Moment (feat. Iselin),"Gryffin,Iselin",0,144,"edm, melodic bass, future bass, ",Electronic,04:14,54,78,2,0,42,0,20,-6,C♯/D♭ minor,4,12A,Gryffin,Just For A Moment (feat. Iselin)
Next to Me,Otto Knows,60,127,,,03:22,60,75,79,0,31,0,10,-5,B,4,1B,Otto Knows,Next to Me
Intoxicated - Radio Edit,"Martin Solveig,GTA",2,125,"french house, moombahton","Electronic, Latin",02:39,79,69,0,0,50,0,10,-4,C,4,8B,Martin Solveig,Intoxicated
Rush Over Me (feat. HALIENE),"Seven Lions,ILLENIUM,Said The Sky,HALIENE",0,135,"melodic bass, future bass, edm, chillstep, dubstep, progressive trance, trance",Electronic,04:19,44,75,7,0,24,0,0,-4,C,4,8B,Seven Lions,Rush Over Me (feat. HALIENE)
Afterlife (feat. Echos),"ILLENIUM,Echos",0,88,"melodic bass, future bass, edm, chillstep",Electronic,06:04,45,62,9,0,21,0,10,-5,G minor,4,6A,ILLENIUM,Afterlife (feat. Echos)
Take it Back - Radio Edit,Bougenvilla,0,126,future house,Electronic,02:42,63,95,6,59,71,0,0,-4,C♯/D♭,4,3B,Bougenvilla,Take it Back
Make Me Feel,"Galantis,East & Young",31,126,tech house,Electronic,03:27,50,88,1,0,19,0,10,-4,F#/G♭,4,2B,Galantis,Make Me Feel
Our Fragment (feat. Missio),"Skrux,MISSIO",0,150,"chillstep, future bass, melodic bass, ",Electronic,04:05,50,68,25,0,15,0,0,-8,C,4,8B,Skrux,Our Fragment (feat. Missio)
Broken Drum (feat. Fitz of Fitz and the Tantrums),"Cash Cash,Fitz and The Tantrums",0,128,"edm, ",Electronic,03:18,66,89,6,0,51,0,0,-2,G,4,9B,Cash Cash,Broken Drum (feat. Fitz of Fitz and the Tantrums)
Indian Summer,Jai Wolf,0,170,,,04:08,42,83,2,5,4,0,0,-2,F#/G♭,4,2B,Jai Wolf,Indian Summer
Revive,LIONE,0,97,"melodic bass, future bass, edm",Electronic,04:12,52,83,0,0,34,0,30,-4,B,4,1B,LIONE,Revive
Love Me,Jane XØ,22,84,future bass,Electronic,03:32,62,77,54,0,48,0,30,-2,C♯/D♭,4,3B,Jane XØ,Love Me
Get Low,"Dillon Francis,DJ Snake",44,101,"moombahton, edm, electro house, ","Electronic, Latin",03:34,67,94,3,66,75,0,50,-4,B minor,4,10A,Dillon Francis,Get Low
Lonely (with Chandler Leighton),"ILLENIUM,Chandler Leighton",50,93,"melodic bass, future bass, edm",Electronic,04:30,45,40,60,0,13,0,20,-5,A,4,11B,ILLENIUM,Lonely (with Chandler Leighton)
Blessed - Avicii Radio Edit,"Tom Hangs,Shermanology",0,126,"tech house, house",Electronic,03:02,62,91,3,16,56,0,0,-4,G#/A♭ minor,4,1A,Tom Hangs,Blessed
No Sleep (feat. Bonn),"Martin Garrix,Bonn",62,128,"edm, electronica, progressive house, ",Electronic,03:27,44,64,13,0,33,0,10,-6,B,4,1B,Martin Garrix,No Sleep (feat. Bonn)
Wasted,"Tiësto,Matthew Koma",2,112,"edm, trance, big room, house, dance, ",Electronic,03:10,64,82,0,0,39,0,20,-6,D,4,10B,Tiësto,Wasted
Colors,"Hardwell,Tiësto,Andreas Moe",0,128,"big room, edm, progressive house, electronica, trance, house, dance, ",Electronic,04:01,60,83,1,0,51,0,10,-3,D,4,10B,Hardwell,Colors
Gecko (Overdrive) - Radio Edit,"Oliver Heldens,Becky Hill",70,125,"future house, house, ",Electronic,02:45,61,89,1,0,76,0,30,-5,C,4,8B,Oliver Heldens,Gecko (Overdrive)
Fly,"Fransis Derelle,Parker Polhill",0,145,"future bass, melodic bass, ",Electronic,03:22,53,72,3,0,8,0,0,-5,E,4,12B,Fransis Derelle,Fly
Save The World,Swedish House Mafia,71,127,edm,Electronic,03:33,51,67,1,0,40,0,0,-8,C,4,8B,Swedish House Mafia,Save The World
Coming Home - Seven Lions & Ricky Mears Festival Radio Mix,"Seven Lions,Mike Mains,Ricky Mears",20,128,"melodic bass, future bass, edm, chillstep, dubstep, progressive trance",Electronic,03:39,46,90,0,0,17,0,30,-4,G,4,9B,Seven Lions,Coming Home
Five More Hours,"Deorro,Chris Brown",68,128,"melbourne bounce, electro house, r&b","Electronic, R&B",03:31,70,88,3,0,50,20,80,-3,F minor,4,4A,Deorro,Five More Hours
Beam - Dannic Radio Mix,Mako,0,128,,,02:48,42,84,0,0,45,0,20,-5,C♯/D♭ minor,4,12A,Mako,Beam
When We Were Young (feat. The Chain Gang of 1974),"Dillon Francis,Sultan + Shepard,The Chain Gang Of 1974",29,128,"moombahton, edm, electro house, melodic house, progressive house, ","Electronic, Latin",03:21,59,85,0,0,42,0,30,-4,C♯/D♭,4,3B,Dillon Francis,When We Were Young (feat. The Chain Gang of 1974)
Dying for You (feat. Alex Aris) - Radio Edit,"Otto Knows,Lindsey Stirling,Alex Aris",52,122,,,03:18,69,58,49,0,44,0,0,-6,A#/B♭,4,6B,Otto Knows,Dying for You (feat. Alex Aris)
Surrender,Cash Cash,0,128,edm,Electronic,03:28,54,89,2,0,30,0,10,-3,C♯/D♭,4,3B,Cash Cash,Surrender
Lionhearted,"Porter Robinson,Urban Cone",51,120,"edm, electronic, ",Electronic,04:26,62,74,2,0,35,0,10,-7,G#/A♭,4,4B,Porter Robinson,Lionhearted
Edge,Rezz,1,100,"edm, dubstep",Electronic,03:43,84,68,0,80,35,0,10,-10,D,4,10B,Rezz,Edge
Leaving,ILLENIUM,0,140,"melodic bass, future bass, edm",Electronic,03:54,30,64,4,0,18,0,90,-3,B,4,1B,ILLENIUM,Leaving
Tremor - Sensation 2014 Anthem,"Dimitri Vegas & Like Mike,Martin Garrix",6,128,"big room, electronica, edm, electro, progressive house",Electronic,04:54,63,94,0,75,45,0,90,-4,F#/G♭ minor,4,11A,Dimitri Vegas & Like Mike,Tremor
Feel (feat. Sena Sener) - Radio Edit,"Mahmut Orhan,Sena Şener",66,121,turkish pop,Pop,02:52,73,76,4,16,72,0,10,-5,C♯/D♭ minor,4,12A,Mahmut Orhan,Feel (feat. Sena Sener)
This Could Be Love - Radio Edit,"Borgeous,Shaun Frank,Delaney Jane",0,126,"big room, edm, future house, ",Electronic,03:10,68,72,2,7,48,0,30,-6,G#/A♭ minor,4,1A,Borgeous,This Could Be Love
Easy Go,"Grandtheft,Delaney Jane",0,156,"edm trap, ","Electronic, Hip Hop",03:10,68,92,11,0,57,0,0,-4,F,4,7B,Grandtheft,Easy Go
Outside (feat. Ellie Goulding),"Calvin Harris,Ellie Goulding",88,128,"edm, ",Electronic,03:47,65,82,21,0,42,0,30,-4,D minor,4,7A,Calvin Harris,Outside (feat. Ellie Goulding)
Youtopia,"Armin van Buuren,Adam Young",27,127,"trance, progressive trance, progressive house, electronica, edm, ",Electronic,02:51,53,78,4,0,76,0,0,-9,G,4,9B,Armin van Buuren,Youtopia
Stole the Show,"Kygo,Parson James",81,100,"tropical house, ",Electronic,03:43,64,64,27,0,48,20,30,-8,G#/A♭ minor,4,1A,Kygo,Stole the Show
Stockholm Skies (feat. Tom Taped & Alex Aris),"Steve Angello,Tom Taped,Alex Aris",0,128,"progressive house, ",Electronic,04:33,56,76,2,1,14,0,10,-6,A#/B♭,4,6B,Steve Angello,Stockholm Skies (feat. Tom Taped & Alex Aris)
Feel Good,"Gryffin,ILLENIUM,Daya",0,138,"edm, melodic bass, future bass, ",Electronic,04:08,62,71,22,0,45,0,20,-5,D,4,10B,Gryffin,Feel Good
Live Before We Die (feat. KiFi),"Headhunterz,KiFi",22,129,"hardstyle, frenchcore, melbourne bounce, hardcore, big room, progressive house",Electronic,03:25,59,72,25,0,54,0,40,-5,B minor,4,10A,Headhunterz,Live Before We Die (feat. KiFi)
Yesterday (feat. Bebe Rexha),"David Guetta,Bebe Rexha",40,128,"edm, dance, ",Electronic,04:03,57,78,2,0,28,0,30,-4,A minor,4,8A,David Guetta,Yesterday (feat. Bebe Rexha)
The Days,Avicii,71,127,edm,Electronic,04:38,59,72,4,0,53,0,10,-3,C,4,8B,Avicii,The Days
Madonna vs. Avicii – Girl Gone Wild - AVICII's UMF Mix,"Madonna,Avicii",0,132,edm,Electronic,05:16,74,79,10,17,57,20,0,-7,F#/G♭,4,2B,Madonna,Madonna vs. Avicii – Girl Gone Wild
Till It Hurts,"Yellow Claw,Ayden",34,145,"edm, edm trap, ","Electronic, Hip Hop",03:08,55,89,0,0,29,0,10,-4,G#/A♭,4,4B,Yellow Claw,Till It Hurts
Stranger (feat. Elliphant),"Peking Duk,Elliphant",54,105,,,03:26,53,87,5,0,38,0,0,-3,C♯/D♭ minor,4,12A,Peking Duk,Stranger (feat. Elliphant)
Nobody Does It Better,Michael Calfan,49,123,,,02:28,68,84,0,0,57,0,0,-6,C,4,8B,Michael Calfan,Nobody Does It Better
Untouchable,"Tritonal,Cash Cash",50,129,"edm, progressive house, progressive trance",Electronic,03:48,54,80,7,0,25,0,30,-3,G,4,9B,Tritonal,Untouchable
This Is My Life - Radio Version,Edward Maya,56,128,,,03:49,71,76,2,23,39,0,30,-6,F minor,4,4A,Edward Maya,This Is My Life
Boneless,"Steve Aoki,Chris Lake,Tujamo",36,128,"electro house, edm, tech house, house, bass house, ",Electronic,04:30,74,96,0,61,64,0,30,-3,B minor,4,10A,Steve Aoki,Boneless
Virus (How About Now) - Radio Edit,"Martin Garrix,MOTi",35,128,"edm, electronica, progressive house, big room, future house",Electronic,03:18,49,84,0,13,7,0,80,-6,F minor,4,4A,Martin Garrix,Virus (How About Now)
Faith (with Dolly Parton) [feat. Mr. Probz] - Galantis & Bali Bandits VIP Mix,"Galantis,Dolly Parton,Mr. Probz,Bali Bandits",32,123,"country, future house","Country, Electronic",02:57,47,90,7,0,70,10,10,-3,G#/A♭,4,4B,Galantis,Faith (with Dolly Parton) [feat. Mr. Probz]
Escape (Into the Sunset) - Radio Edit,"Quintino,¡UNA!",0,128,"big room, edm, singer-songwriter","Electronic, Folk",03:03,57,80,1,0,17,0,40,-7,D,4,10B,Quintino,Escape (Into the Sunset)
Seve - Radio Edit,Tez Cadey,44,121,tropical house,Electronic,03:29,74,83,43,0,46,0,0,-7,F,4,7B,Tez Cadey,Seve
New York City,The Chainsmokers,50,126,,,03:50,56,64,1,0,6,0,10,-7,E minor,4,9A,The Chainsmokers,New York City
After Life,"Tchami,Stacy Barthe",0,126,"future house, bass house, g-house, house, ",Electronic,04:53,60,90,0,53,8,0,0,-4,C,4,8B,Tchami,After Life
Make Me Move,"Culture Code,Karra",1,95,"melodic bass, future bass, ",Electronic,03:17,54,65,21,0,36,0,10,-5,G#/A♭ minor,4,1A,Culture Code,Make Me Move
Stay (feat. Dive Deep),"Daktyl,Dive Deep",21,148,"stutter house, future bass, ",Electronic,03:42,58,69,3,39,37,0,20,-8,A minor,4,8A,Daktyl,Stay (feat. Dive Deep)
Sunset Jesus,Avicii,54,105,edm,Electronic,04:24,61,79,3,0,69,0,10,-4,G,4,9B,Avicii,Sunset Jesus
Midnight Hearts - Radio Edit,"Sam Feldt,The Him,Angi3",0,125,"tropical house, ",Electronic,03:16,67,87,1,0,43,0,10,-4,F minor,4,4A,Sam Feldt,Midnight Hearts
Dive,"Salvatore Ganacci,Enya,Alex Aris",34,142,"moombahton, new age, celtic, ","Folk, Traditional Music, Electronic, Latin, New Age",03:21,68,71,11,0,28,0,0,-4,C minor,4,5A,Salvatore Ganacci,Dive
Fuck That,Skrillex,47,128,"dubstep, edm, electro, electronic",Electronic,03:52,90,96,8,0,46,10,30,-5,C♯/D♭,4,3B,Skrillex,Fuck That
Need You,"Dillon Francis,NGHTMRE",42,112,"moombahton, edm, electro house, dubstep, edm trap, future bass","Electronic, Hip Hop, Latin",03:17,72,93,0,5,37,20,30,-3,E minor,4,9A,Dillon Francis,Need You
Allein,Pryda,49,126,progressive house,Electronic,05:35,56,81,1,83,33,0,10,-5,G minor,4,6A,Pryda,Allein
Without You (feat. Dylan Matthew),"SLANDER,Kayzo,Dylan Matthew",0,170,"melodic bass, dubstep, edm, future bass, deathstep, electronic rock, riddim, ","Electronic, Metal, Rock, Reggae",03:45,60,71,7,0,62,0,10,-7,A#/B♭ minor,4,3A,SLANDER,Without You (feat. Dylan Matthew)
Summit (feat. Ellie Goulding),"Skrillex,Ellie Goulding",60,140,"dubstep, edm, electro, electronic, ",Electronic,06:13,69,77,23,1,49,0,10,-4,F#/G♭,4,2B,Skrillex,Summit (feat. Ellie Goulding)
Bun Up the Dance,"Dillon Francis,Skrillex",47,105,"moombahton, edm, electro house, dubstep, electro, electronic","Electronic, Latin",03:34,48,94,2,0,26,20,30,-1,C♯/D♭ minor,4,12A,Dillon Francis,Bun Up the Dance
The Drop,Bro Safari,0,170,"moombahton, edm trap, dubstep","Electronic, Hip Hop, Latin",03:49,69,88,10,4,52,10,40,-4,C minor,4,5A,Bro Safari,The Drop
Mr. Saxobeat - Radio Edit,Alexandra Stan,7,127,,,03:15,73,93,2,0,80,0,10,-4,B minor,4,10A,Alexandra Stan,Mr. Saxobeat
Lay Me Down,Avicii,0,125,edm,Electronic,05:00,70,67,0,3,74,0,0,-7,A minor,4,8A,Avicii,Lay Me Down
Faded,Alan Walker,74,90,,,03:32,59,65,3,0,17,0,10,-5,F#/G♭,4,2B,Alan Walker,Faded
Closer (feat. Bishop),"Elephante,Bishop",0,125,"edm, melodic bass, hardcore, hardcore punk","Electronic, Rock",03:31,51,92,7,0,51,0,10,-3,D,4,10B,Elephante,Closer (feat. Bishop)
Gorgeous (with Blanke & Bipolar Sunshine),"ILLENIUM,Blanke,Bipolar Sunshine",44,180,"melodic bass, future bass, edm, dubstep, ",Electronic,04:37,52,88,5,0,29,10,30,-4,F#/G♭ minor,4,11A,ILLENIUM,Gorgeous (with Blanke & Bipolar Sunshine)
Harder,"Tiësto,KSHMR,Talay Riley",0,126,"edm, trance, big room, house, dance, slap house, electronica, desi hip hop","Electronic, Hip Hop",03:13,61,81,23,0,29,0,40,-4,G minor,4,6A,Tiësto,Harder
Sun Is Shining,"Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",3,132,edm,Electronic,04:15,47,76,7,0,41,0,0,-3,D,4,10B,Axwell /\ Ingrosso,Sun Is Shining
Wake Me Up - Radio Edit,Avicii,9,124,edm,Electronic,04:07,53,78,0,0,64,0,10,-6,D,4,10B,Avicii,Wake Me Up
Ma Chérie - Remady Radio Edit,DJ Antoine feat. The Beat Shakers,22,128,,,03:27,64,65,0,0,41,10,20,-7,G#/A♭,3,4B,DJ Antoine feat. The Beat Shakers,Ma Chérie
In My Head,Galantis,26,128,,,03:41,55,90,1,2,62,0,10,-3,C,4,8B,Galantis,In My Head
Savage (feat. Flux Pavilion & MAX),"Whethan,Flux Pavilion,MAX",41,90,"dubstep, edm, dub, ","Electronic, Reggae",03:25,68,66,15,0,37,0,30,-6,G,4,9B,Whethan,Savage (feat. Flux Pavilion & MAX)
Middle,"DJ Snake,Bipolar Sunshine",1,105,,,03:40,60,75,2,0,21,0,0,-4,A,4,11B,DJ Snake,Middle
High Alert (feat. Sara Hartman),"Netsky,Sara Hartman",38,90,"drum and bass, liquid funk, chillstep, ",Electronic,04:05,51,89,0,0,27,0,10,-3,F#/G♭ minor,4,11A,Netsky,High Alert (feat. Sara Hartman)
Phoenix (we rise) - Radio Edit,"Tom Swoon,Belle Humble,DANK",30,126,"progressive house, dubstep, chillstep, big room",Electronic,03:12,59,92,3,0,23,0,40,-3,G,4,9B,Tom Swoon,Phoenix (we rise)
One (Your Name) - Radio Edit,"Swedish House Mafia,Pharrell Williams",52,125,"edm, ",Electronic,02:43,73,67,1,0,64,0,10,-7,A minor,4,8A,Swedish House Mafia,One (Your Name)
Firefly,"Mura Masa,Nao",0,110,alternative r&b,"Pop, R&B",03:48,75,41,24,0,46,0,0,-9,A#/B♭,4,6B,Mura Masa,Firefly
Hold On - Radio Edit,"MOGUAI,Cheat Codes",0,125,"big room, ",Electronic,02:58,60,77,21,0,55,0,0,-6,F,4,7B,MOGUAI,Hold On
Open Wide (feat. Big Sean),"Calvin Harris,Big Sean",59,128,"edm, ",Electronic,03:07,76,94,7,0,69,0,50,-3,C♯/D♭,4,3B,Calvin Harris,Open Wide (feat. Big Sean)
Blame (feat. John Newman),"Calvin Harris,John Newman",84,128,"edm, ",Electronic,03:32,41,86,3,1,35,0,30,-4,C minor,4,5A,Calvin Harris,Blame (feat. John Newman)
Call Me A Spaceman - Radio Edit,"Hardwell,Mitch Crown",2,128,"big room, edm, progressive house, electronica, ",Electronic,03:09,58,88,2,0,35,0,20,-4,D#/E♭ minor,4,2A,Hardwell,Call Me A Spaceman
Love$ick,"Mura Masa,A$AP Rocky",0,89,rap,Hip Hop,03:12,65,78,14,0,77,10,20,-5,F#/G♭,4,2B,Mura Masa,Love$ick
Holiday (feat. Akon) - DJ Antoine vs Mad Mark 2k15 Radio Edit,"DJ Antoine,Akon,CALVO",0,126,future house,Electronic,03:31,77,82,22,0,58,0,0,-4,C♯/D♭,4,3B,DJ Antoine,Holiday (feat. Akon)
Setting Fires,"The Chainsmokers,XYLØ",0,105,,,04:07,63,72,2,0,56,0,20,-6,G#/A♭ minor,4,1A,The Chainsmokers,Setting Fires
Waiting For Tomorrow (feat. Mike Shinoda),"Martin Garrix,Pierce Fulton,Mike Shinoda",48,128,"edm, electronica, progressive house, ",Electronic,04:07,51,89,1,0,34,10,50,-4,F minor,4,4A,Martin Garrix,Waiting For Tomorrow (feat. Mike Shinoda)
Play Hard (feat. Ne-Yo & Akon),"David Guetta,Ne-Yo,Akon",79,130,"edm, dance, ",Electronic,03:21,69,92,17,0,80,0,30,-2,G#/A♭ minor,4,1A,David Guetta,Play Hard (feat. Ne-Yo & Akon)
You Always Win,Dropout,29,115,,,04:39,64,94,29,0,33,0,10,-2,D minor,4,7A,Dropout,You Always Win
The Ocean (feat. Shy Martin),"Mike Perry,shy martin",70,90,"tropical house, ",Electronic,03:03,63,57,2,0,19,0,10,-6,F,4,7B,Mike Perry,The Ocean (feat. Shy Martin)
Footprints,"Tiësto,Cruickshank",0,128,"edm, trance, big room, house, dance, ",Electronic,04:17,64,77,7,0,29,0,0,-5,C♯/D♭ minor,4,12A,Tiësto,Footprints
Hey Brother,Avicii,10,125,edm,Electronic,04:15,55,78,3,0,46,0,0,-5,G minor,4,6A,Avicii,Hey Brother
