Test Song Title,Test Artist,Recommended Song Title,Recommended Artist,Score
Belong to the City,PARTYNEXTDOOR,Killing Me Softly With His Song,Roberta Flack,0
blind,ROLE MODEL,Miracle Man,Oliver Tree,1
Cocoa Butter Kisses,"Chance the Rapper,VIC MENSA,Twista",American Money,BØRNS,0
Tennis Court,Lorde,Dangerous (feat. Jeremih and PnB Rock),"Meek Mill,Jeremih,PnB Rock",0
TEMPTATION,Joey Bada$$,The Thrill,"Wiz Khalifa,Empire Of The Sun",1
Summers Over Interlude,"Drake,Majid Jordan",Time Moves Slow,"BADBADNOTGOOD,Samuel T. Herring",1
EARFQUAKE,"Tyler, The Creator",Pipe Down,Drake,1
Rock with You - Single Version,Michael Jackson,Celebration,Kool & The Gang,1
Calling After Me,Wallows,Song 2,Blur,0
Bad Girls,M.I.A.,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé,Kendrick Lamar",1
Raspberry Beret,Prince,Jessie's Girl,Rick Springfield,1
I Dare You,The Regrettes,What You're Proposing,Status Quo,0
Anthems For A Seventeen Year-Old Girl,Broken Social Scene,Atlantic City,Bruce Springsteen,0
Hurricane,Luke Combs,Take It From Me,Jordan Davis,1
Starlight,Muse,Helena,My Chemical Romance,0
Shining Star,The Manhattans,Under the Bridge,Red Hot Chili Peppers,0
Charlie Brown,Coldplay,Rollercoaster,Bleachers,1
Dearly Departed (feat. Esmé Patterson),Shakey Graves,Burn Out,Midland,1
All For You,Janet Jackson,Cut To The Feeling,Carly Rae Jepsen,1
Energy,Drake,On & On,"Cartoon,Jéja,Daniel Levi",0
Been Away,Brent Faiyaz,D.M.B.,A$AP Rocky,0
Green Green Grass,George Ezra,Your Man,Down With Webster,1
Enter Sandman,Metallica,Electric Love,BØRNS,0
Stand and Deliver,Adam & The Ants,B.O.B. - Bombs Over Baghdad,Outkast,0
Hunger,Florence + The Machine,P*$$Y Fairy (OTW),Jhené Aiko,0
Without You,Harry Nilsson,Private Investigations,Dire Straits,0
No Ordinary Love,Sade,The Other Side Of Paradise,Glass Animals,0
Whiskey On You,Nate Smith,That's What You Get,Paramore,1
Locked Up,Akon,Bluebird,Miranda Lambert,0
Don't Let the Sun Go Down on Me,"George Michael,Elton John",Pursuit Of Happiness (Nightmare),"Kid Cudi,MGMT,Ratatat",0
Lost In Love,Air Supply,You Love Me,Kimya Dawson,1
Nas Is Like,Nas,N.Y. State of Mind,Nas,1
No More Mr. Nice Guy,Alice Cooper,Money,Pink Floyd,1
Folding Chair,Regina Spektor,Coyote,Joni Mitchell,0
Let Your Love Flow,The Bellamy Brothers,Houdini,Foster The People,0
Santeria,Sublime,2002,Anne-Marie,0
Can't Help Falling In Love,Andy Williams,Headlock,Snail Mail,1
Ayo,"Chris Brown,Tyga",Ms. Fat Booty,Mos Def,1
How Deep Is Your Love,"Calvin Harris,Disciples","Dance, Dance",Fall Out Boy,0
Machu Picchu,The Strokes,Gold,Dierks Bentley,0
You Can Call Me Al,Paul Simon,Boy's a liar Pt. 2,"PinkPantheress,Ice Spice",0
,,,,49
