Song,Artist,Popularity,BPM,Dance,Energy,Acoustic,Happy,Live,Loud,Camelot,Lyrics,Time,Genre,Subgenre
Sailing,Rod Stewart,70,129,43,38,37,19,30,-10,1B,"I am sailing, I am sailing
Home again 'cross the sea
I am sailing stormy waters
To be near you, to be free

I am flying, I am flying
Like a bird 'cross the sky
I am flying, passing high clouds
To be with you, to be free

Can you hear me, can you hear me
Thro' the dark night, far away
I am dying, forever crying
To be with you, who can say
Can you hear me, can you hear me
Thro' the dark night far away
I am dying, forever crying
To be with you, who can say

We are sailing, we are sailing
Home again 'cross the sea
We are sailing stormy waters
To be near you, to be free

Oh Lord, to be near you, to be free
Oh (My) Lord, to be near you, to be free
Oh Lord
Oh Lord, to be near you, to be free
Oh (My) Lord, to be near you, to be free
Oh Lord",277,rock,rock
More Than I Can Say,Leo Sayer,58,96,72,54,19,68,20,-11,6B,"Whoa-ooh, whoa-ooh, yay, yay
I love you more than I can say
I'll love you twice as much tomorrow, whoa
Love you more than I can say
Whoa-ooh, whoa-ooh, yay, yay
I'll miss you every single day
Why must my life be filled with sorrow? Oh
Love you more than I can say
Oh, don't you know I need you so?
Oh, tell me please, I got to know
Do you mean to make me cry?
Am I just another guy?
Whoa-ooh, whoa-ooh, yay, yay
I miss you more than I can say
Why must my life be filled with sorrow? Oh, whoa
Love you more than I can say
Oh, don't you know I need you so?
So tell me please, I got to know
Do you mean to make me cry?
Am I just another guy?
Oh-ooh, oh-oh, yay, yay
I love you more than I can say
I'll love you twice as much tomorrow, whoa
Love you more than I can say
I love you more than I can say
I love you more than I can say, oh-ooh-oh

(Mmm, more than I can say)
I'll love you twice as much tomorrow
(Mmm, more than I can say)
I'll love you twice as much tomorrow
(Mmm, more than I can say)
I love you more than I can say
(Mmm, more than I can say)
I love you more than words can say
(Mmm, more than I can say)
I love you more than I can say",221,pop,pop 80s
Skyfall,Adele,86,76,35,55,42,8,10,-7,5A,"This is the end
Hold your breath and count to ten
Feel the Earth move, and then
Hear my heart burst again
For this is the end
I've drowned and dreamt this moment
So overdue, I owe them
Swept away, I'm stolen

Let the sky fall
When it crumbles
We will stand tall
Face it all together
Let the sky fall
When it crumbles
We will stand tall
Face it all together at Skyfall
At Skyfall

Skyfall is where we start
A thousand miles and poles apart
Where worlds collide and days are dark
You may have my number, you can take my name
But you'll never have my heart

Let the sky fall (Let the sky fall)
When it crumbles (When it crumbles)
We will stand tall (We will stand tall)
Face it all together
Let the sky fall (Let the sky fall)
When it crumbles (When it crumbles)
We will stand tall (We will stand tall)
Face it all together at Skyfall

Let the sky fall
When it crumbles
We will stand tall
Let the sky fall
When it crumbles
We will stand tall

Where you go I go
What you see I see
I know I'd never be me without the security
Of your loving arms keeping me from harm
Put your hand in my hand and we'll stand

Let the sky fall (Let the sky fall)
When it crumbles (When it crumbles)
We will stand tall (We will stand tall)
Face it all together
Let the sky fall (Let the sky fall)
When it crumbles (When it crumbles)
We will stand tall (We will stand tall)
Face it all together at Skyfall

Let the sky fall
We will stand tall
At Skyfall
Ooh",286,pop,pop
Rockin' in the Free World,Neil Young,67,132,49,88,0,52,30,-5,9A,"There's colors on the street
Red, white, and blue
People shuffling their feet
People sleeping in their shoes

There's a warning sign on the road ahead
There's a lot of people saying we'd be better off dead
Don't feel like Satan, but I am to them
So I try to forget it any way I can

Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world

I see a woman in the night
With a baby in her hand
There's an old street light
Near a garbage can

Now she put the kid away and she's gone to get a hit
She hates her life and what she's done to it
There's one more kid that'll never go to school
Never get to fall in love, never get to be cool

Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world

We got a thousand points of light for the homeless man
We got a kinder, gentler machine gun hand
We've got department stores and toilet paper
Got Styrofoam boxes for the ozone layer
Got a man of the people, says ""Keep hope alive""
Got fuel to burn, got roads to drive

Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world

Keep on rockin' in the free world",281,rock,rock
Then He Kissed Me,The Crystals,64,136,43,68,70,63,20,-8,12B,"Released September, 1963
Well, he walked up to me and he asked me if I wanted to dance
He looked kind of nice and so I said I might take a chance
When he danced he held me tight
And when he walked me home that night
All the stars were shining bright and then he kissed me

Each time I saw him I couldn't wait to see him again
I wanted to let him know that he was more than a friend
I didn't know just what to do
So I whispered, ""I love you""
And he said that he loved me too and then he kissed me

He kissed me in a way that I've never been kissed before
He kissed me In a way that I want to be kissed forever more

I knew that he was mine so I gave him all the love that I had
And one day, he took me home to meet his mom and his dad
Then he asked me to be his bride
And always be right by his side
I felt so happy I almost cried and then he kissed me


Then he asked me to be his bride
And always be right by his side
I felt so happy I almost cried and then he kissed me

And then he kissed me
And then he kissed me",158,pop,pop 60s
Remind Me to Forget,"Kygo,Miguel",69,99,69,51,16,31,10,-6,8B,"It never fades away, it's staying
Your kiss like broken glass on my skin
And all the greatest loves end in violence
It's tearing up my voice, left in silence

Baby, it hit so hard, holding on to my chest
Maybe you left your mark, reminding me to forget
It doesn't matter where you are, you can keep my regret
'Cause baby, I got these scars, reminding me to forget
Reminding me, I got these scars, to forget your love
Keep reminding me, ooh, to forget your love

You left your burn (In my heart)
You left your mark, reminding me to forget
You left your burn (In my heart)
You left your mark (Under my skin)
You left your burn (In my heart)
You left your mark, reminding me to forget
You left your burn (In my heart)
You left your mark (Under my skin)

There's no room in war for feelings
Hurt me to the core, still healing
And I know you're no good for me
So I tried to forget the memories

Baby, it hit so hard, holding on to my chest
Maybe you left your mark, reminding me to forget
It doesn't matter where you are, you can keep my regret
Baby, I got these scars, reminding me to forget

You left your burn (In my heart)
You left your mark, reminding me to forget
You left your burn (In my heart)
You left your mark (Under my skin)

Remember I told you
To save it, it's over
And I'll be alright
So hurt me as much as you like
I need you to let go
I got these mementos
And I'll be alright
Yeah

Baby, it hit so hard, holding on to my chest
Maybe you left your mark, reminding me to forget
It doesn't matter where you are, you can keep my regret
Baby, I got these scars, reminding me to forget

You left your burn (In my heart)
You left your mark, reminding me to forget
You left your burn (In my heart)
You left your mark, reminding me to forget",217,soul,soul rnb
Somebody’s Problem,Morgan Wallen,75,137,66,54,66,62,10,-8,7B,"A 'Bama red 4Runner pulled into the party
With a 30-A sticker on the back windshield
Two-tone tank top slippin' off her shoulder
Kinda girl when she steps out, the world stands still

Ooh, I know where this is goin'
I already know it

She's somebody's problem, somebody's goodbye
Somebody's last call number that they can't find
Somebody's best day, somebody's worst night
Somebody's reason for leavin' on the porch light
Thinkin' 'bout them tan lines and I'm thinkin' damn, I'd
Love to drown in them heartbreaker blue eyes
Shе's somebody's problem and somebody's problеm's
About to be mine
About to be mine

Kinda girl once you've had her, you can't stand to lose her
Kinda girl where your friends tell you don't F it up
Kinda girl that goes from tryin' to just to get her number
To slidin' through the summer to talkin' 'bout love

Ooh, I think I'm likin' where it's goin'
I'd like to try me some of

Somebody's problem, somebody's goodbye
Somebody's last call number that they can't find
Somebody's best day, somebody's worst night
Somebody's reason for leavin' on the porch light
Thinkin' 'bout them tan lines and I'm thinkin' damn, I'd
Love to drown in them heartbreaker blue eyes
She's somebody's problem and somebody's problem's
About to be mine
About to be mine

Oh, hey baby, don't just keep me wishin'
Oh, let me get to fixin'

Somebody's problem, somebody's goodbye
Somebody's last call number that they can't find
Somebody's best day, somebody's worst night
Somebody's reason for leavin' on the porch light
Thinkin' 'bout them tan lines and I'm thinkin' damn, I'd
Love to drown in them heartbreaker blue eyes
She's somebody's problem and somebody's problem's
About to be mine
About to be mine
About to be mine
About to be mine",161,country,country pop
Dissolve Me,alt-J,52,108,56,61,10,12,0,-8,10B,"Now dissolve me
Two tabs on your tongue
A herd of shepherds to herd the sheep
Sleep now, my only one
Broken sweethearts, ah
Who sleep apart
Both still pine for the other's side spine
Spoon as sleep starts

And pulse to pulse
Now, shush

She makes the sound, the sound the sea makes
To calm me down

I am see-through
Soap sliver, you're so thin
As I begin rubbing lathers out
Your state worsens on my skin
And gold
Fatless finger to lip
One-two, three-four, hush

And pulse to pulse
Now, shush

She makes the sound, the sound the sea makes
To calm me down
She makes the sound, the sound the sea makes
I'm tired now

Oh, oh, oh, oh, oh, oh
Oh-oh-oh, oh, oh, oh, oh-oh-oh, oh, oh, oh
Oh, oh, oh, oh, oh, oh
Oh-oh-oh, oh, oh, oh, oh-oh-oh, oh, oh, oh

She makes the sound the sea makes
Knee-deep in the north
She makes the sound the sea makes
Knee-deep in the north
She makes the sound the sea makes
Knee-deep in the north
She makes the sound the sea makes
Knee-deep in the north
She makes the sound the sea makes
Knee-deep in the north
She makes the sound the sea makes
Knee-deep in the north
She makes the sound the sea makes
Knee-deep in the north
She makes the sound the sea makes
Knee-deep in the north sea",239,indie,indie rock
I'm a Slave 4 U,Britney Spears,74,110,85,84,42,96,10,-4,4A,"I know I may be young, but I've got feelings too
And I need to do what I feel like doing
So let me go and just listen

All you people look at me like I'm a little girl
Well, did you ever think it'd be okay for me to step into this world?
Always sayin', ""Little girl, don't step into the club""
Well, I’m just tryna find out why, 'cause dancing's what I love, yeah (Now watch me)

Get it, get it, get it, get it, oh
Get it, get it (Do you like it?), get it, get it, woah
Get it, get it, get it, get it, uh
(This feels good)

I know I may come off quiet, I may come off shy
But I feel like talkin', feel like dancin' when I see this guy
What’s practical? What's logical? What the hell, who cares?
All I know is I'm so happy when you’re dancin' there

I’m a slave for you
I cannot hold it, I cannot control it
I’m a slave for you
I won’t deny it, I’m not tryna hide it

Baby, don't you wanna dance up on me? (I just wanna dance next to you)
To another time and place
Oh, baby, don't you wanna dance up on me? (Are you ready?)
Leaving behind my name and age (Let's go)

Like that
You like it?
Yeah
Now watch me

Get it, get it, get it, get it, oh
Get it, get it (Do you like it?), get it, get it, woah
Get it, get it, get it, get it, uh
(This feels good)

I really wanna dance tonight with you (I just can't help myself)
I really wanna do what you want me to (I just feel I let myself go)
I really wanna dance tonight with you (I wanna see you move)
I really wanna do what you want me to (Uh, uh, uh)

Baby, don't you wanna dance up on me? (I just wanna dance next to you)
To another time and place
Oh, baby, don't you wanna dance up on me? (Are you ready?)
Leaving behind my name and age

I'm a slave for you (Like that)
I cannot hold it, I cannot control it
I'm a slave for you (It just feels right, it just feels good)
I won't deny it, I'm not tryna hide it, baby

Get it, get it, get it, get it, oh
Get it, get it, get it, get it, woah
Get it, get it, get it, get it, uh
(It's just you and me)
Get it, get it, get it, get it, oh
Get it, get it, get it, get it, woah
Get it, get it, get it, get it, uh

I’m a slave for you (Here we go now)
I cannot hold it, I cannot control it
I’m a slave for you (Here we go)
I won't deny it, I'm not tryna hide it (Yeah, yeah, yeah)

Like that",203,pop,pop dance
Two Weeks,Grizzly Bear,71,160,53,72,30,74,0,-6,7B,"Oh-oh-oh
Oh-oh-oh

Save up all the days
A routine malaise
Just like yesterday
I told you I would stay

Oh-oh-oh

Would you always? (Oh-oh-oh-oh)
Maybe sometimes? (Oh-oh-oh-oh)
Make it easy? (Oh-oh-oh-oh)
Take your time (Oh-oh-oh-oh)

Oh-oh-oh

Think of all the ways
Momentary phase
Just like yesterday
I told you I would stay

Every time you try
Quarter half a mile
Just like yesterday
I told you I would stay (Oh-oh-oh)

Would you always? (Oh-oh-oh-oh)
Maybe sometimes? (Oh-oh-oh-oh)
Make it easy? (Oh-oh-oh-oh)
Take your time (Oh-oh-oh-oh)

Would you always? (Oh-oh-oh-oh)
Maybe sometimes? (Oh-oh-oh-oh)
Make it easy? (Oh-oh-oh-oh)
Take your time (Oh-oh-oh-oh)

Always (Oh-oh-oh-oh)
Sometimes (Oh-oh-oh-oh)
Easy (Oh-oh-oh-oh)
Time (Oh-oh-oh-oh)

Oh-oh-oh
Oh-oh-oh",246,indie,indie rock
Five More Minutes,Scotty McCreery,70,156,49,63,26,28,10,-5,9B,"Eight years old, a couple cane poles
Sittin' down by the creek
Our lines in the water, watching those bobbers
Seein' that red sun sink
Mama's on the porch yelling ""Supper's hot
Y'all come and get it!""
We yelled five more minutes

At sixteen it was twelve o three
Standin' at her front door
Katie's dad said midnight
But we needed just a little more
Yellow light flipping on and off
Interruptin' that goodnight kissing
We wanted five more minutes

Time rolls by, the clock don't stop
I wish I had a few more drops
Of the good stuff, the good times
Oh, but they just keep on flying
Right on by like it ain't nothing
Wish I had me a pause button
Moments like those, Lord knows I'd hit it
And give myself five more minutes

At eighteen, turned my helmet in
And walked to the fifty-yard line
It's just the coach and me after we
Lost state, ten to nine
And I cried, ""Man next time to get in here
I'll have to buy a ticket""
Can't you give me five more minutes?

Time rolls by, the clock don't stop
I wish I had a few more drops
Of the good stuff, the good times
Oh, but they just keep on flying
Right on by like it ain't nothing
Wish I had me a pause button
Moments like those, Lord knows I'd hit it
And give myself five more minutes

At eighty-six, my grandpa said
There's angels in the room
With all the family gathered 'round
We knew that time was coming soon
With so much left to say I prayed
Lord, I ain't finished
Just give us five more minutes

Time rolls by, the clock don't stop
I wish I had a few more drops
Of the good stuff, the good times
Oh, but they just keep on flying
Right on by like it ain't nothing
Wish I had me a pause button
Moments like those, Lord knows I'd hit it
Yeah, sometimes this old life will leave you wishing
That you had five more minutes
Five more minutes",241,country,country
Over You,Roxy Music,49,127,57,79,0,72,40,-5,10B,"Oh, baby
This is nowhere
Wish I was somewhere
Over you
Your sweet lips
Tell me there's no chance
No more romance
Over you
Oh, baby
How can I go on?
Crying so long
Over you
Where strangers
Look for new love
I'm so lost in love
Over you
Oooh, ooh
Some day
Yes, it might come, babe
When I'll be, babe
Over you

And always
Up to that moment
I will try to say
I'm over you",207,rock,rock 80s
Can't Stop Lovin' You,Van Halen,66,118,59,90,14,54,20,-5,11B,"There's a time and place for everything, for everyone
We can push with all our might, but nothing's gonna come
Oh no, nothing's gonna change
And if I asked you not to try, oh, could you let it be?

I wanna hold you and say
We can't throw this all away
Tell me you won't go, you won't go
Do you have to hear me say

I can't stop lovin' you
And no matter what I say or do
You know my heart is true, oh
I can't stop lovin' you

You can change your friends, your place in life
You can change your mind
We can change the things we say
And do it anytime
Oh no, but I think you'll find
That when you look inside your heart
Oh, baby, I'll be there, yeah

Hold on
I'm holding on
Baby, just come on, come on, come on
I just wanna hear you say

I can't stop lovin' you
And no matter what you say or do
You know my heart is true, oh
I can't stop lovin' you

Oh, I'm so twisted and tied
And all I remember
Was how hard we tried
Only to surrender

And when it's over
I know how it's gonna be
And true love will never die
No, not fade away

And I can't stop lovin' you
And no matter what I say or do
You know my heart is true, oh
I can't stop lovin' you
And I know what I got to do
Hey Ray, what you said is true, oh
I can't stop lovin' you, oh
Oh, I can't stop lovin' you",247,rock,rock 80s
All My Stars Aligned,St. Vincent,30,130,44,44,62,29,10,-10,3B,"I read the signs
I got all my stars aligned
My amulets, my charms
I set all my false alarms
So I'll be someone who won't be forgotten
I've got a question and you've got the answer

I do a dance to make the rain come
Smile to keep the sky from falling down, down, down, down
Collect the love that I've been given
Build a nest for us to sleep in here
You know it's real

I check my palms
The cracks in the sidewalk
My visions and my dreams
I cross all my fingers
That you'll be someone who won't be forgotten
What was your question?
I've got the answer

I do a dance to make the rain come
Smile to keep the sky from falling down, down, down, down
Collect the love that I've been given
Build a nest for us to sleep in here
You know it's real

There are no signs
There are no stars aligned
No amulets, not a charm
To bring you back to my arms
There's just this human heart that's built with this human flaw
What was your question?
Love is the answer

I do a dance to make the rain come
Smile to keep the sky from falling down, down, down, down
Collect the love that I've been given
Build a nest for us to sleep in here
You know it's real",227,indie,indie pop
Subterranean Homesick Blues,Bob Dylan,64,174,58,73,70,75,30,-10,9A,"Johnny's in the basement, mixin' up the medicine
I'm on the pavement, thinkin' about the government
The man in a trench coat, badge out, laid off
Says he's got a bad cough, wants to get it paid off
Look out, kid, it's somethin' you did
God knows when, but you're doin' it again
You better duck down the alleyway, looking for a new friend
The man in the coon-skin cap in a big pen
Wants eleven dollar bills, you only got ten

Maggie comes fleet foot, face full of black soot
Talkin' that the heat put plants in the bed, but
The phone's tapped anyway, Maggie says that many say
They must bust in early May, orders from the DA
Look out kid, don't matter what you did
Walk on your tip-toes, don't try NoDoz
Better stay away from those that carry around a fire hose
Keep a clean nose, watch the plainclothes
You don't need a weather man to know which way the wind blows

Oh, get sick, get well, hang around a inkwell
Ring bell, hard to tell if anything is gonna sell
Try hard, get barred, get back, write braille
Get jailed, jump bail, join the Army if you fail
Look out, kid, you're gonna get hit
By losers, cheaters, six-time users
Hanging 'round the theaters
Girl by the whirlpool's looking for a new fool
Don't follow leaders, and watch the parking meters

Oh, get born, keep warm, short pants, romance
Learn to dance, get dressed, get blessed, try to be a success
Please her, please him, buy gifts, don't steal, don't lift
Twenty years of schoolin' and they put you on the day shift
Look out, kid, they keep it all hid
Better jump down a manhole, light yourself a candle
Don't wear sandals, try to avoid the scandals
Don't want to be a bum, you better chew gum
The pump don't work 'cause the vandals took the handles",141,folk,folk 60s
Heartbeats,José González,65,88,59,18,98,31,10,-15,5B,"One night to be confused
One night to speed up truth
We had a promise made
Four hands and then away
Both under influence
We had divine sense
To know what to say
Mind is a razor blade

To call for hands of above, to lean on
Wouldn't be good enough
For me, no

One night of magic rush
The start a simple touch
One night to push and scream
And then relief
Ten days of perfect hues
The colors red and blue
We had a promise made
We were in love

To call for hands of above, to lean on
Wouldn't be good enough
For me, no
To call for hands of above, to lean on
Wouldn't be good enough

And you, you knew the hand of the devil
And you, kept us awake with wolf teeth
Sharing different heartbeats
In one night

To call for hands of above, to lean on
Wouldn't be good enough
For me, no
To call for hands of above, to lean on
Wouldn't be good enough",161,indie,indie
To Cut A Long Story Short,Spandau Ballet,40,142,72,86,1,96,20,-8,10B,"Ha!
Soldier is turning
See him through white light
Running from strangers
See you in the valley
War upon war
Heat upon heat
To cut a long story short, I lost my mind
Sitting on a park bench
Years away from fighting
Ah, to cut a long story short, I lost my mind
Standing in the dark
Oh, I was waiting for men to come
I am beautiful and clean
And so very, very young
To be standing in the street
To be taken by someone
Standing in the dark
Oh, I was waiting for man to come
I am beautiful and clean
And so very very young
To be standing in the street
To be taken by someone

Questions, questions
Give me no answers
That's all they ever give me
Questions, questions
Oh, look at the strange boy
He finds it hard existing
To cut a long story short, I lost my mind
Oh, to cut a long story short, I lost my...
Mind!",201,pop,pop 80s
Empty Mansions,Local Natives,34,106,66,62,27,71,10,-8,4A,"Is it every really no one's fault?
The history is cloudy
Memories I'm doubting
But I'm remembering the curtain call
Holding your ground
Underneath the waterfall

But I
Blame it on myself
Blame it on myself
Oh, ooh
You never needed my help
I never asked why
Oh, I
Blame it on myself
Blame it on myself
Oh, ooh
You never needed my help
I never asked why

You stumbled in as it was winding down
I didn't think you'd make it
Out this way, we're just
Empty mansions on a road in shores
Falling down so slowly
No one notices at all

And I
Blame it on myself
Blame it on myself
Oh, ooh
You never needed my help
I never asked why
Oh, I
Blame it on myself
Blame it on myself
Oh, ooh
You never needed my help
I never asked why

I
Blame it on myself
Blame it on myself
Oh, ooh
You never needed my help
I never asked why
Oh, I
Blame it on myself
Blame it on myself
Oh, ooh
You never needed my help
I never asked why",205,indie,indie pop
Should've Been Me,Mitski,64,90,51,63,1,57,10,-7,7A,"Well, I went through my list of friends and found
I had no one to tell
Of this overwhelming clean feeling
Strange serenity

When I saw the girl looked just like me
And it broke my heart, the lengths you went to hold me
To get to have me, 'cause

I haven't given you what you need
You wanted me, but couldn't reach me
So you went into your memory
Relived all the ways you still want me
I haven't given you what you need
You wanted me, but couldn't reach me
I'm sorry, it should've been me

I'd be going 'bout my day, until a hand
Would come and lift me out
And drop me in the middle of a labyrinth
Where I'd be stuck a while

When I saw the girl looked just like me, I thought
Must be lonely loving someone
Trying to find their way out of a maze
Oh, I know

I haven't given you what you need
You wanted me, but couldn't reach me
So you went into your memory
Relived all the ways you still want me
I haven't given you what you need
You wanted me, but couldn't reach me
I'm sorry, it should've been me
I'm sorry, it should've been me",191,indie,indie pop
Django Jane,Janelle Monáe,45,102,83,62,49,26,10,-6,1B,"Let's get sc—
I don't, I don't care
I, I don't
I don't, I don't care
I, I don't
I don't, I don't
I, I don't
I don't, I don't care
Let's get—

Yeah
Yeah, this is my palace, champagne in my chalice
I got it all covered like a wedding band
Wondaland, so my alias is Alice
And we gon' start a motherfuckin' pussy riot
Or we gon' have to put 'em on a pussy diet
Look at that, I guarantee I got 'em quiet
Look at that, I guarantee they all inspired
A-town, made it out there
Straight out Kansas City, yeah, we made it out there
Celebrated, graduated, made it pass/fail
Sassy, classy, Kool-Aid with the kale
Mama was a G, she was cleanin' hotels
Papa was a driver, I was workin' retail
Kept us in the back of the store
We ain't hidden no more, moonlit nigga, lit nigga
Already got a Oscar for the casa
Runnin' down Grammys with the family
Probably give a Tony to the homies
Probably get a Emmy dedicated to the
Highly melanated
ArchAndroid orchestrated
Yeah, we highly melanated
ArchAndroid orchestrated
Yeah, Jamanati still jammin'
Box office numbers and they doin' outstandin'
Runnin' out of space in my damn bandwagon
Remember when they used to say I look too mannish
Black girl magic, y'all can't stand it
Y'all can't ban it, made out like a bandit
They been tryin' hard just to make us all vanish
I suggest they put a flag on a whole 'nother planet
Jane Bond, never Jane Doe and I Django, never Sambo
Black and white, yeah, that's always been my camo
It's lookin' like y'all gon' need some more ammo
I cut 'em off, I cut 'em off, I cut 'em off like Van Gogh
Now, pan right for the angle
I got away with murder, no scandal, cue the violins and violas
We gave you life, we gave you birth
We gave you God, we gave you Earth
We fem the future, don't make it worse
You want the world? Well, what's it worth?
Emoticons, Decepticons, and Autobots, who twist the plot?
Who shot the sheriff, then fled to Paris
In the darkest hour, spoke truth to power?
Made a fandroid out of your girlfriend
Let's get caught downtown in the whirlwind
And paint the city pink, paint the city pink
And tuck the pearls in, just in case the world end
And nigga, down dog
Nigga, move back, take a seat, you were not involved
And hit the mute button, let the vagina have a monologue
Mansplaining, I fold 'em like origami
What's a wave, baby? This a tsunami
For the culture, I kamikaze, I put my life on a life line
If she the G.O.A.T. now, would anybody doubt it?
If she the G.O.A.T. now, would anybody doubt it?
Huh, do anybody got it? Do anybody got it? I say, anybody got it?

Let's get sc—",190,hip hop,hip hop pop
One (Your Name) - Radio Edit,"Swedish House Mafia,Pharrell Williams",52,125,73,67,1,64,10,-7,8A,"Oh

Uh, I wanna know your name
You just killed me, could you at least do that?
I wanna know your name
Or better yet, stand there, just do that

I wanna know your name (I wanna know your name)
You just killed me, could you at least do that?
I wanna know your name (I wanna know your name)
Or better yet, stand there, just do that

Ayy, yeah
I wanna know your name
Your name
I wanna know your name, name, name, name, name, name, name, name, name
Your name, name, name, name, name, name, name, name, name
Uh
Oh, yeah

I wanna know your name
You just killed me, could you at least do that?
I wanna know your name (I wanna know your name)
Uh, or better yet, stand there, just do that

Ayy, yeah
Oh, yeah
I wanna know your name, name, name, name, name, name, name, name, name
Your name, name, name, name, name, name, name, name
I wanna know your name, name, name, name, name, name, name, name, name
Your name, name, name, name, name, name, name, name, name
Uh",163,dance,dance electronic
Tyler Herro,Jack Harlow,63,123,79,76,11,78,20,-7,4A,"Yeah

The ones that hate me the most look just like me
You tell me what that means
Make a slick comment and see what that brings
I seen it go down, we can reenact things
Extreme like BMXing
These boys pussy and they PMSing
People in the city see the movement occurring
And say, ""My God, I wanna be in that scene""
Damn right, you wanna be in this scene
She at the video tryna be in this scene
Used to fantasize 'bout bein' this seen (Seen)
Bluegrass girl, but she got big dreams
Can't touch me, I got instincts
Locked in the house, but I'm plottin' things
I brought a gang to the party with me
Five white boys, but they not NSYNC (Yeah, woo)

Fuck what y'all think
Fuck everything that you say about me
My dawgs like to play Madden and 2K
But one thing they don't do is play about me
My homeboy Tyler, he play in South Beach
He told me this summer he gon' fix my jumper
I told Boi-1da that we might got a thumper
I been tryna pop, now I'm on like Shumpert (Yeah, yeah, yeah, yeah)
Now they on my bumper
Green room chock-full of all my comforts
Hotel room like heaven on earth
Got angels in my bed with some all-white covers
Ace Pro, Nemo, Lucci and Quiiso, Shloob, Clay, 2for
And I got a few more I call my brothers
I got a lot of flows and they all like butter, ooh (Ah)
You know what that means
I came home nice, but I'm goin' back mean
I'm 'bout to globe-trot when they know a vaccine
Mothafuckers act lost, but they know exactly what's goin' on
Made a mil' and I don't know what to blow it on
I tell the critics, ""Shut up,"" like my show is on
Gave a T-shirt to her, said, ""Throw it on""
She one of many high school classmates I'm growin' on (Growin' on, growin' on)
My peers ain't poppin', they don't know what's goin' wrong
Y'all well dressed, but you ain't got soul and you just can't sew it on
I'm tryna tell y'all boys, I got a few songs I could sell y'all boys
I tried it back then, it was, ""Hell nah, boy"" (Nah)
Now I'm in a box like a Kellogg's toy (Like a, like a, ooh)

The ones that hate me the most look just like me (Like me)
You tell me what that means
Make a slick comment and see what that brings
I seen it go down, we can reenact things (Let's do it)
Extreme like BMXing
These boys pussy and they PMSing (Woo)
People in the city see the movement occurring
And say, ""My God, I wanna be in that scene"" (That's right)
Damn right, you wanna be in this scene
She at the video tryna be in this scene (Scene)
Used to fantasize 'bout bein' this seen
Bluegrass girl, but she got big dreams
Can't touch me, I got instincts
Locked in the house, but I'm plottin' things
I brought a gang to the party with me
Five white boys, but they not NSYNC (No, they not NSYNC, no, they not NSYNC)

Word to JT, no, they not NSYNC
Word to JT, no, they not NSYNC
No, they not NSYNC, no-no
No, they not NSYNC, oh-oh, oh-oh, oh-oh, oh-oh",156,hip hop,hip hop
Turn Down for What,"DJ Snake,Lil Jon",73,100,82,80,0,8,0,-4,12A,"Fire up that loud
Another round of shots

Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?

Fire up that loud
Another round of shots

Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?

Fire up that loud
Another round of shots
Fire up that loud
Another round of shots
Fire up that loud
Another round of shots
Fire up that loud
Another round of shots, shots

Shots, shots, shots, shots
Shots, shots, shots, shots
Shots-shots-shots-shots
Shots-shots-shots-shots
Shots-shots-shots-shots
Shots-shots-shots-shots
S—

Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?

Uh, uh",213,hip hop,hip hop electronic
