Test Song Title,Test Artist,Recommended Song Title,Recommended Artist,Score,
Into You,Ariana Grande,Biggest Part of Me,Ambrosia,0,
They Don't Care About Us,Michael Jackson,Club Paradise,Drake,0,
Carry on Wayward Son,Kansas,Prelude / Angry Young Man,Billy Joel,1,
China In Your Hand - Single Version,T'Pau,Magic Carpet Ride,Steppenwolf,0,This one was funny
Music For a Sushi Restaurant,Harry Styles,Saturday Sun,Vance Joy,1,
Don't You Want Me,The Human League,Somebody Like You,Keith Urban,1,
Boys Don't Cry,The Cure,Cry For Me,The Weeknd,0,This one was funny
Born Again,Saint Motel,I Got You Babe,"UB40,Chrissie Hynde",1,
Till I Collapse,"Eminem,Nate Dogg",Nail Tech,Jack Harlow,1,
Bat Out of Hell,Meat Loaf,My Little,Ryan Leahan,0,
Belong to the City,PARTYNEXTDOOR,LOOSE CHANGE,Brent Faiyaz,1,
blind,ROLE MODEL,"New Person, Same Old Mistakes",Tame Impala,0,
Cocoa Butter Kisses,"Chance the Rapper,VIC MENSA,Twista","Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)","Raekwon,Ghostface Killah,Method Man,Cappadonna",0,
Tennis Court,Lorde,Over My Dead Body,Drake,0,
TEMPTATION,Joey Bada$$,Criminal,Fiona Apple,0,can definitely see the connection lyric wise- might be a good sample to include in the wrtite up
Summers Over Interlude,"Drake,Majid Jordan",When You're Gone,"Bryan Adams,Melanie C",0,
EARFQUAKE,"Tyler, The Creator",Poison,Brent Faiyaz,1,
Rock with You - Single Version,Michael Jackson,Rock You Like A Hurricane,Scorpions,0,
Calling After Me,Wallows,Decode,Paramore,0,
Bad Girls,M.I.A.,Swim Good,Frank Ocean,0,
Raspberry Beret,Prince,Off My Mind,Joe P,0,
I Dare You,The Regrettes,Semi-Charmed Life,Third Eye Blind,1,
Anthems For A Seventeen Year-Old Girl,Broken Social Scene,Coyote,Joni Mitchell,1,
Hurricane,Luke Combs,Touch The Sky,"Kanye West,Lupe Fiasco",0,
Starlight,Muse,I Have Nothing,Whitney Houston,0,
Shining Star,The Manhattans,My Little,Ryan Leahan,0,
Charlie Brown,Coldplay,Youtopia,"Armin van Buuren,Adam Young",1,
Dearly Departed (feat. Esmé Patterson),Shakey Graves,Hurricane,Kanye West,0,
All For You,Janet Jackson,Tonight,Summer Walker,0,
Energy,Drake,ELEMENT.,Kendrick Lamar,1,
Been Away,Brent Faiyaz,Can't Get Enough,"J. Cole,Trey Songz",0,
Green Green Grass,George Ezra,Something Like That,Tim McGraw,1,
Enter Sandman,Metallica,Changing of the Guards,Bob Dylan,0,
Stand and Deliver,Adam & The Ants,Impostor Syndrome,Sidney Gish,0,
Hunger,Florence + The Machine,Green Eyes,Erykah Badu,0,
Without You,Harry Nilsson,My Life,Billy Joel,1,
No Ordinary Love,Sade,Seek Bromance - Avicii Vocal Edit,"Tim Berg,Avicii",0,
Whiskey On You,Nate Smith,Lampshades on Fire,Modest Mouse,0,
Locked Up,Akon,Let It Whip,Dazz Band,0,
Don't Let the Sun Go Down on Me,"George Michael,Elton John",Hurricane,Kanye West,0,
Lost In Love,Air Supply,Gold (Stupid Love),"Excision,ILLENIUM,Shallows",0,
Nas Is Like,Nas,Ether,Nas,1,
No More Mr. Nice Guy,Alice Cooper,The Real Slim Shady,Eminem,0,
Folding Chair,Regina Spektor,Amsterdam,Gregory Alan Isakov,0,
Let Your Love Flow,The Bellamy Brothers,Gold (Stupid Love),"Excision,ILLENIUM,Shallows",0,
Santeria,Sublime,greedy,Tate McRae,0,
Can't Help Falling In Love,Andy Williams,Can't Help Falling in Love,Elvis Presley,1,cover
Ayo,"Chris Brown,Tyga",Bitch Please,"Snoop Dogg,Xzibit",0,
How Deep Is Your Love,"Calvin Harris,Disciples",What I Did for Love (feat. Emeli Sandé),"David Guetta,Emeli Sandé",1,
Machu Picchu,The Strokes,Aston Martin Music,"Rick Ross,Drake,Chrisette Michele",0,
You Can Call Me Al,Paul Simon,Without Me,Eminem,0,
,,,,41,
